sweep_label,n_rows
S3_high_random,35000
coupled_A1_B2_S3_random,35000
coupled_A1_B2_random,5000
coupled_A1_S3_random,20000
coupled_A2_B2_random,6000
coupled_A3_S3_random,35000
coupled_B2_S3_random,30000
coupled_C1_A1_S3_random,8000
coupled_C1_A3_S3_random,8000
coupled_C1_C3_A2_random,10000
coupled_C1_C3_S3_random,8000
coupled_C1_C3_random,15000
coupled_C1_S3_random,10000
coupled_C3_A3_S3_random,30000
coupled_C3_B2_random,5000
coupled_full_random,160000
coupled_sparse_random,80000
