feature_name,feature_group
defocus_Xigma_mean_under_minus_over,mean
defocus_Xigma_mean_over_minus_under,mean
defocus_Xigma_mean_sum,mean
defocus_Xigma_mean_norm_under_minus_over,mean
defocus_Xigma_mean_norm_over_minus_under,mean
defocus_Mu_mean_under_minus_over,mean
defocus_Mu_mean_over_minus_under,mean
defocus_Mu_mean_sum,mean
defocus_Mu_mean_norm_under_minus_over,mean
defocus_Mu_mean_norm_over_minus_under,mean
defocus_Rho_mean_under_minus_over,mean
defocus_Rho_mean_over_minus_under,mean
defocus_Rho_mean_sum,mean
defocus_Rho_mean_norm_under_minus_over,mean
defocus_Rho_mean_norm_over_minus_under,mean
