feature_name,feature_group
defocus_Xigma_mean_under_minus_over,mean
defocus_Xigma_mean_over_minus_under,mean
defocus_Xigma_mean_sum,mean
defocus_Xigma_mean_norm_under_minus_over,mean
defocus_Xigma_mean_norm_over_minus_under,mean
defocus_Xigma_h1_under_minus_over_real,harmonic
defocus_Xigma_h1_under_minus_over_imag,harmonic
defocus_Xigma_h1_under_plus_over_real,harmonic
defocus_Xigma_h1_under_plus_over_imag,harmonic
defocus_Xigma_h1_under_minus_over_magnitude,harmonic
defocus_Xigma_h1_under_plus_over_magnitude,harmonic
defocus_Xigma_h1_norm_under_minus_over_real,harmonic
defocus_Xigma_h1_norm_under_minus_over_imag,harmonic
defocus_Xigma_h1_norm_under_minus_over_magnitude,harmonic
defocus_Xigma_h2_under_minus_over_real,harmonic
defocus_Xigma_h2_under_minus_over_imag,harmonic
defocus_Xigma_h2_under_plus_over_real,harmonic
defocus_Xigma_h2_under_plus_over_imag,harmonic
defocus_Xigma_h2_under_minus_over_magnitude,harmonic
defocus_Xigma_h2_under_plus_over_magnitude,harmonic
defocus_Xigma_h2_norm_under_minus_over_real,harmonic
defocus_Xigma_h2_norm_under_minus_over_imag,harmonic
defocus_Xigma_h2_norm_under_minus_over_magnitude,harmonic
defocus_Xigma_h3_under_minus_over_real,harmonic
defocus_Xigma_h3_under_minus_over_imag,harmonic
defocus_Xigma_h3_under_plus_over_real,harmonic
defocus_Xigma_h3_under_plus_over_imag,harmonic
defocus_Xigma_h3_under_minus_over_magnitude,harmonic
defocus_Xigma_h3_under_plus_over_magnitude,harmonic
defocus_Xigma_h3_norm_under_minus_over_real,harmonic
defocus_Xigma_h3_norm_under_minus_over_imag,harmonic
defocus_Xigma_h3_norm_under_minus_over_magnitude,harmonic
defocus_Xigma_h4_under_minus_over_real,harmonic
defocus_Xigma_h4_under_minus_over_imag,harmonic
defocus_Xigma_h4_under_plus_over_real,harmonic
defocus_Xigma_h4_under_plus_over_imag,harmonic
defocus_Xigma_h4_under_minus_over_magnitude,harmonic
defocus_Xigma_h4_under_plus_over_magnitude,harmonic
defocus_Xigma_h4_norm_under_minus_over_real,harmonic
defocus_Xigma_h4_norm_under_minus_over_imag,harmonic
defocus_Xigma_h4_norm_under_minus_over_magnitude,harmonic
defocus_Mu_mean_under_minus_over,mean
defocus_Mu_mean_over_minus_under,mean
defocus_Mu_mean_sum,mean
defocus_Mu_mean_norm_under_minus_over,mean
defocus_Mu_mean_norm_over_minus_under,mean
defocus_Mu_h1_under_minus_over_real,harmonic
defocus_Mu_h1_under_minus_over_imag,harmonic
defocus_Mu_h1_under_plus_over_real,harmonic
defocus_Mu_h1_under_plus_over_imag,harmonic
defocus_Mu_h1_under_minus_over_magnitude,harmonic
defocus_Mu_h1_under_plus_over_magnitude,harmonic
defocus_Mu_h1_norm_under_minus_over_real,harmonic
defocus_Mu_h1_norm_under_minus_over_imag,harmonic
defocus_Mu_h1_norm_under_minus_over_magnitude,harmonic
defocus_Mu_h2_under_minus_over_real,harmonic
defocus_Mu_h2_under_minus_over_imag,harmonic
defocus_Mu_h2_under_plus_over_real,harmonic
defocus_Mu_h2_under_plus_over_imag,harmonic
defocus_Mu_h2_under_minus_over_magnitude,harmonic
defocus_Mu_h2_under_plus_over_magnitude,harmonic
defocus_Mu_h2_norm_under_minus_over_real,harmonic
defocus_Mu_h2_norm_under_minus_over_imag,harmonic
defocus_Mu_h2_norm_under_minus_over_magnitude,harmonic
defocus_Mu_h3_under_minus_over_real,harmonic
defocus_Mu_h3_under_minus_over_imag,harmonic
defocus_Mu_h3_under_plus_over_real,harmonic
defocus_Mu_h3_under_plus_over_imag,harmonic
