sweep_label,n_rows
S3_high_random,7000
coupled_A1_B2_S3_random,8500
coupled_A1_B2_random,3500
coupled_A1_S3_random,6500
coupled_A2_B2_random,3000
coupled_A3_S3_random,8500
coupled_B2_S3_random,6000
coupled_C1_A1_C3_A2_random,5500
coupled_C1_A1_C3_random,5500
coupled_C1_A1_S3_random,4000
coupled_C1_A1_random,6000
coupled_C1_A2_random,5000
coupled_C1_A3_random,4000
coupled_C1_B2_random,2500
coupled_C1_C3_A2_random,5500
coupled_C1_C3_S3_random,5000
coupled_C1_C3_random,6500
coupled_C1_S3_random,5500
coupled_C3_A3_S3_random,8000
coupled_C3_B2_random,3000
coupled_full_random,21554
coupled_sparse_random,19000
