epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,1.3779147863388062,1.7610357999801636,1.3779147863388062,1.7610357999801636,1.591916799545288,1.5471820831298828,1.6138712167739868,1.3261079788208008,0.7663692831993103,0.8956301808357239,0.7663692831993103,0.8956301808357239,0.0,2.558208223035763e-07,0.7663695390201326,0.7663695390201326,0.7797870635986328,0.0006
25,0.5376337170600891,0.8664969801902771,0.5376337170600891,0.8664969801902771,0.6143398284912109,0.6830463409423828,0.7075889706611633,0.500318169593811,0.3482224941253662,0.538449764251709,0.3482224941253662,0.538449764251709,0.0,0.0009502392495051026,0.3491727333748713,0.3491727333748713,0.36929619312286377,0.0006
50,0.20243863761425018,0.36699962615966797,0.20243863761425018,0.36699962615966797,0.19007934629917145,0.2504599988460541,0.28729498386383057,0.18380747735500336,0.16710293292999268,0.30202704668045044,0.16710293292999268,0.30202704668045044,0.0,0.0018863881705328822,0.16898932110052556,0.16898932110052556,0.20268432796001434,0.0006
75,0.1294156014919281,0.2399284988641739,0.1294156014919281,0.2399284988641739,0.12262621521949768,0.16396741569042206,0.1855902373790741,0.11708185076713562,0.11434775590896606,0.21536026895046234,0.11434775590896606,0.21536026895046234,0.0,0.0020037174690514803,0.11635147337801754,0.11635147337801754,0.15182271599769592,0.0006
100,0.09899688512086868,0.19446738064289093,0.09899688512086868,0.19446738064289093,0.10097362846136093,0.1310117095708847,0.14669039845466614,0.08852525055408478,0.09167768806219101,0.17986689507961273,0.09167768806219101,0.17986689507961273,0.0,0.0020177727565169334,0.09369546081870794,0.09369546081870794,0.12849237024784088,0.0006
125,0.0822024792432785,0.16663505136966705,0.0822024792432785,0.16663505136966705,0.08615224808454514,0.11199603974819183,0.1234159916639328,0.07315360009670258,0.07777746766805649,0.1565956324338913,0.07777746766805649,0.1565956324338913,0.0,0.0019995213951915503,0.07977698906324804,0.07977698906324804,0.1143544390797615,0.0006
150,0.07096247375011444,0.1461390107870102,0.07096247375011444,0.1461390107870102,0.07482779026031494,0.0991530790925026,0.10630527883768082,0.06320257484912872,0.06863924860954285,0.14089062809944153,0.06863924860954285,0.14089062809944153,0.0,0.0019429504172876477,0.0705821990268305,0.0705821990268305,0.10431396216154099,0.0006
175,0.06120330095291138,0.1280244141817093,0.06120330095291138,0.1280244141817093,0.06567058712244034,0.08641967177391052,0.09193062037229538,0.05445677787065506,0.061187807470560074,0.12797404825687408,0.061187807470560074,0.12797404825687408,0.0,0.001894765766337514,0.06308257323689759,0.06308257323689759,0.09635721147060394,0.0006
200,0.052429892122745514,0.11181141436100006,0.052429892122745514,0.11181141436100006,0.057873375713825226,0.07581992447376251,0.07925450056791306,0.04654025286436081,0.05464857071638107,0.11637761443853378,0.05464857071638107,0.11637761443853378,0.0,0.0018374331993982196,0.05648600391577929,0.05648600391577929,0.08926227688789368,0.0006
225,0.04560229554772377,0.09924771636724472,0.04560229554772377,0.09924771636724472,0.05205357074737549,0.06704400479793549,0.0696723610162735,0.04031744971871376,0.04907938465476036,0.10687721520662308,0.04907938465476036,0.10687721520662308,0.0,0.0017859612125903368,0.0508653458673507,0.0508653458673507,0.08341576159000397,0.0006
250,0.040835049003362656,0.09073148667812347,0.040835049003362656,0.09073148667812347,0.04817219823598862,0.06131766363978386,0.0630904957652092,0.03594861924648285,0.044859111309051514,0.09987932443618774,0.044859111309051514,0.09987932443618774,0.0,0.0017319429898634553,0.04659105429891497,0.04659105429891497,0.07866881042718887,0.0006
275,0.03709951788187027,0.08376443386077881,0.03709951788187027,0.08376443386077881,0.044834066182374954,0.05732904002070427,0.05758415162563324,0.032601889222860336,0.041464999318122864,0.09386415779590607,0.041464999318122864,0.09386415779590607,0.0,0.0016790531808510423,0.043144052498973906,0.043144052498973906,0.07427938282489777,0.0006
300,0.03426220268011093,0.0791362002491951,0.03426220268011093,0.0791362002491951,0.04233306646347046,0.05354088172316551,0.05353531986474991,0.030030574649572372,0.03877241164445877,0.08998169004917145,0.03877241164445877,0.08998169004917145,0.0,0.0016350009245797992,0.04040741256903857,0.04040741256903857,0.07060382515192032,0.0006
