epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,1.3781616687774658,1.7613950967788696,1.3781616687774658,1.7613950967788696,1.5922034978866577,1.5474631786346436,1.6141456365585327,1.3263486623764038,0.7665250301361084,0.8958948254585266,0.7665250301361084,0.8958948254585266,0.030164305120706558,2.5495197064628883e-07,0.7966895902087856,0.7966895902087856,0.8101365566253662,0.0006
25,0.5394954085350037,0.872509241104126,0.5394954085350037,0.872509241104126,0.620124101638794,0.6880690455436707,0.713911235332489,0.5012004971504211,0.34959131479263306,0.5444995760917664,0.34959131479263306,0.5444995760917664,0.008539057336747646,0.0009533528354950249,0.35908372496487573,0.35908372496487573,0.38023796677589417,0.0006
50,0.20510369539260864,0.3925670087337494,0.20510369539260864,0.3925670087337494,0.20168286561965942,0.264356404542923,0.30742746591567993,0.18263739347457886,0.1677628457546234,0.315025269985199,0.1677628457546234,0.315025269985199,0.0036368798464536667,0.0019137128256261349,0.17331343842670321,0.17331343842670321,0.2089204043149948,0.0006
75,0.1305970549583435,0.25793182849884033,0.1305970549583435,0.25793182849884033,0.12950824201107025,0.1752232015132904,0.19988790154457092,0.11538349837064743,0.11450279504060745,0.22508063912391663,0.11450279504060745,0.22508063912391663,0.003096420783549547,0.0020174593664705753,0.11961667519062757,0.11961667519062757,0.1561880260705948,0.0006
100,0.10047657042741776,0.2086278796195984,0.10047657042741776,0.2086278796195984,0.1074640080332756,0.14073197543621063,0.15938496589660645,0.0875425860285759,0.09178484976291656,0.18744972348213196,0.09178484976291656,0.18744972348213196,0.0026178336702287197,0.0020329260732978582,0.09643560950644314,0.09643560950644314,0.13218791782855988,0.0006
125,0.08412960171699524,0.17780832946300507,0.08412960171699524,0.17780832946300507,0.09153582155704498,0.11961156874895096,0.13375318050384521,0.0732341930270195,0.07822631299495697,0.16303694248199463,0.07822631299495697,0.16303694248199463,0.002436112379655242,0.002005660440772772,0.08266808581538498,0.08266808581538498,0.117920882999897,0.0006
150,0.07286180555820465,0.15501779317855835,0.07286180555820465,0.15501779317855835,0.0793149545788765,0.10514292865991592,0.1146751418709755,0.0636812224984169,0.06927594542503357,0.14644663035869598,0.06927594542503357,0.14644663035869598,0.0023800977505743504,0.0019582018721848726,0.07361424504779279,0.07361424504779279,0.10794862359762192,0.0006
175,0.0629468709230423,0.1348302811384201,0.0629468709230423,0.1348302811384201,0.06934288144111633,0.09175455570220947,0.09847968816757202,0.055145252496004105,0.06197579205036163,0.1327190399169922,0.06197579205036163,0.1327190399169922,0.0023157529067248106,0.0019031716510653496,0.0661947166081518,0.0661947166081518,0.0998564288020134,0.0006
200,0.05363434553146362,0.11644211411476135,0.05363434553146362,0.11644211411476135,0.060727544128894806,0.07928238064050674,0.08399318903684616,0.0469687283039093,0.05531032010912895,0.12030520290136337,0.05531032010912895,0.12030520290136337,0.002091608941555023,0.0018510348163545132,0.05925296386703849,0.05925296386703849,0.09282227605581284,0.0006
225,0.046096574515104294,0.10204713046550751,0.046096574515104294,0.10204713046550751,0.05389737710356712,0.06910549849271774,0.0724489763379097,0.04031061381101608,0.049488648772239685,0.10979525744915009,0.049488648772239685,0.10979525744915009,0.0017649639630690217,0.0017934860661625862,0.05304709880147129,0.05304709880147129,0.08625917881727219,0.0006
250,0.04088728874921799,0.09272387623786926,0.04088728874921799,0.09272387623786926,0.04951023682951927,0.06262599676847458,0.06489349156618118,0.03561646118760109,0.04503920301795006,0.1023428812623024,0.04503920301795006,0.1023428812623024,0.0014880112139508128,0.0017418485367670655,0.048269062768667936,0.048269062768667936,0.08122294396162033,0.0006
275,0.037038277834653854,0.08576103299856186,0.037038277834653854,0.08576103299856186,0.04592294618487358,0.058201104402542114,0.05911389738321304,0.032191332429647446,0.0415344312787056,0.09625249356031418,0.0415344312787056,0.09625249356031418,0.0013471798738464713,0.0016919737681746483,0.044573584920726717,0.044573584920726717,0.07657855749130249,0.0006
300,0.03394932672381401,0.08032466471195221,0.03394932672381401,0.08032466471195221,0.04300328716635704,0.054097678512334824,0.054483190178871155,0.02944088913500309,0.03867259621620178,0.09166781604290009,0.03867259621620178,0.09166781604290009,0.0012370949843898416,0.0016471084672957659,0.04155679966788739,0.04155679966788739,0.07271310687065125,0.0006
