name,mean,std,min,max,p01,p99,near_constant
C1,-0.01367504894733429,38.043148040771484,-99.99899291992188,99.99993133544922,-95.47025299072266,95.51153564453125,False
C3,0.4606684148311615,0.6342249512672424,0.0,2.0,0.0,1.9575458765029907,False
A1_x,0.018512988463044167,16.77812385559082,-60.0,60.0,-50.104408264160156,50.14328384399414,False
A1_y,0.013213149271905422,16.801876068115234,-60.0,60.0,-49.976566314697266,50.023311614990234,False
B2_x,0.0020514782518148422,0.8081193566322327,-3.0,3.0,-2.4783434867858887,2.4800243377685547,False
B2_y,0.0004956354387104511,0.8080504536628723,-3.0,3.0,-2.4754161834716797,2.481410264968872,False
A2_x,0.005870797671377659,3.641824245452881,-16.0,16.0,-12.508904457092285,12.563654899597168,False
A2_y,-0.0006575754377990961,3.6462740898132324,-16.0,16.0,-12.519664764404297,12.54540729522705,False
S3_x,-0.04310192912817001,45.9354362487793,-100.0,100.0,-92.54263305664062,92.51704406738281,False
S3_y,0.06301509588956833,46.001712799072266,-100.0,100.0,-92.52764892578125,92.78215026855469,False
A3_x,-0.005169562995433807,26.2385311126709,-100.0,100.0,-81.86812591552734,81.85417938232422,False
A3_y,0.03885746747255325,26.28101921081543,-100.0,100.0,-82.07023620605469,82.06044006347656,False
