epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,1.3600087109828676,1.1142001152038574,1.3600087109828676,1.1142001152038574,1.3440864086151123,1.617498755455017,1.5024545192718506,1.3573568681125026,0.7210751457680935,0.6384149193763733,0.7210751457680935,0.6384149193763733,0.0,0.00017927697594257632,0.7212544227440361,0.7212544227440361,0.8472777926229371,0.0006
10,0.11333404594713485,0.09292562305927277,0.11333404594713485,0.09292562305927277,0.10733024775981903,0.12076383829116821,0.1610056310892105,0.11244657386397237,0.10700792999059545,0.0917610302567482,0.10700792999059545,0.0917610302567482,0.0,0.0026383105575209015,0.10964624054811635,0.10964624054811635,0.1585221688744492,0.0006
20,0.06270334782837192,0.05085932835936546,0.06270334782837192,0.05085932835936546,0.05908636003732681,0.06441743671894073,0.09358448535203934,0.062128451323861085,0.06555845150346877,0.05576552078127861,0.06555845150346877,0.05576552078127861,0.0,0.0024703140828687474,0.06802876558633751,0.06802876558633751,0.10711901908016862,0.0006
30,0.04350481092664705,0.03573150932788849,0.04350481092664705,0.03573150932788849,0.04085835441946983,0.04444367438554764,0.06683377921581268,0.04307051045950538,0.048763116242533905,0.04166150838136673,0.048763116242533905,0.04166150838136673,0.0,0.002221961237369408,0.050985077479903315,0.050985077479903315,0.08682006897783266,0.0006
40,0.03341298928732136,0.027614304795861244,0.03341298928732136,0.027614304795861244,0.03166475519537926,0.034133974462747574,0.05197176709771156,0.03306749230132267,0.03931146091748846,0.03382415324449539,0.03931146091748846,0.03382415324449539,0.0,0.0020123759892559153,0.04132383690674438,0.04132383690674438,0.07414057950738256,0.0006
50,0.027583725895175357,0.02254864200949669,0.027583725895175357,0.02254864200949669,0.026312274858355522,0.028256991878151894,0.04321232810616493,0.027292779444503507,0.033643487821468636,0.028691096231341362,0.033643487821468636,0.028691096231341362,0.0,0.001799112229356274,0.03544260005082491,0.03544260005082491,0.0655713266706813,0.0006
60,0.023666006722160213,0.019450584426522255,0.023666006722160213,0.019450584426522255,0.0226629376411438,0.024121759459376335,0.03743164986371994,0.023409740933017446,0.029715505960341688,0.025470256805419922,0.029715505960341688,0.025470256805419922,0.0,0.0016357795979935886,0.03135128555833527,0.03135128555833527,0.05922037661574157,0.0006
70,0.020784072674822563,0.01716768369078636,0.020784072674822563,0.01716768369078636,0.020075416192412376,0.021201172843575478,0.03301047533750534,0.02055646202244131,0.026717789425815736,0.023017138242721558,0.026717789425815736,0.023017138242721558,0.0,0.001494687571035623,0.02821247699685136,0.02821247699685136,0.05429457249914995,0.0006
80,0.01844582718465708,0.015345217660069466,0.01844582718465708,0.015345217660069466,0.01798880845308304,0.018916085362434387,0.029370812699198723,0.01824244350443338,0.02429800301931578,0.020981427282094955,0.02429800301931578,0.020981427282094955,0.0,0.0013805405279132567,0.025678543547229038,0.025678543547229038,0.050272445305836425,0.0006
90,0.016517944033686154,0.013811271637678146,0.016517944033686154,0.013811271637678146,0.016169292852282524,0.0171015877276659,0.026309052482247353,0.01633566946294299,0.022212488445760403,0.019219165667891502,0.022212488445760403,0.019219165667891502,0.0,0.0012831997520643538,0.023495688197824757,0.023495688197824757,0.04703006060910968,0.0006
100,0.014890362493173662,0.012548932805657387,0.014890362493173662,0.012548932805657387,0.014636801555752754,0.015514730475842953,0.023883676156401634,0.014722939301571453,0.02047785327745107,0.017789999023079872,0.02047785327745107,0.017789999023079872,0.0,0.0012013671534677054,0.021679220430918775,0.021679220430918775,0.044154554826147385,0.0006
110,0.0133911059702585,0.01140093058347702,0.0133911059702585,0.01140093058347702,0.013334493152797222,0.014128340408205986,0.021552739664912224,0.013239166322016648,0.018812185836048125,0.01639246568083763,0.018812185836048125,0.01639246568083763,0.0,0.0011312640604936506,0.019943449896541777,0.019943449896541777,0.04158409495977278,0.0006
120,0.012403484917600209,0.010631388053297997,0.012403484917600209,0.010631388053297997,0.012222888879477978,0.012928958050906658,0.01984119974076748,0.01226502172785036,0.017584517137055253,0.015459935180842876,0.017584517137055253,0.015459935180842876,0.0,0.0010679456364398343,0.01865246277349509,0.01865246277349509,0.03935413630697477,0.0006
130,0.011322355561064512,0.009801333770155907,0.011322355561064512,0.009801333770155907,0.011364291422069073,0.012052268721163273,0.01825098507106304,0.011193370259356055,0.016449933281887798,0.014521421864628792,0.016449933281887798,0.014521421864628792,0.0,0.0010088591585611026,0.0174587924404489,0.0174587924404489,0.037489519436546014,0.0006
140,0.010315094622960454,0.008946233429014683,0.010315094622960454,0.008946233429014683,0.010450719855725765,0.011207313276827335,0.016748802736401558,0.010195322612964807,0.015262949580441955,0.013505113311111927,0.015262949580441955,0.013505113311111927,0.0,0.0009612723425605881,0.016224221923002543,0.016224221923002543,0.03557248630420358,0.0006
150,0.009452149774213204,0.008289250545203686,0.009452149774213204,0.008289250545203686,0.009744441136717796,0.010364412330091,0.015407062135636806,0.009341291291579311,0.014266283753192485,0.01267542690038681,0.014266283753192485,0.01267542690038681,0.0,0.000919262292014881,0.015185546045207367,0.015185546045207367,0.03400759144009613,0.0006
160,0.008896465696846299,0.007850163616240025,0.008896465696846299,0.007850163616240025,0.00917879119515419,0.009914414957165718,0.014594616368412971,0.008790387043970614,0.013562710492342906,0.012118617072701454,0.013562710492342906,0.012118617072701454,0.0,0.0008750255276116403,0.014437736019954546,0.014437736019954546,0.03266046355699545,0.0006
170,0.008234418547106085,0.007400491274893284,0.008234418547106085,0.007400491274893284,0.008577852509915829,0.009126277640461922,0.013637198135256767,0.008133838896130794,0.012759733854947929,0.011525563895702362,0.012759733854947929,0.011525563895702362,0.0,0.0008474063871171812,0.01360714024206511,0.01360714024206511,0.03140100563831912,0.0006
