split,nn_distance_quartile,group,n,median_weighted_abs_error,median_nn_distance_12d,p95_weighted_abs_error,p95_nn_distance_12d
blind,q1_nearest,blind:q1_nearest,7482,0.0008968584297690541,0.027691730298101902,0.004398950934410093,0.04444056376814842
blind,q2,blind:q2,6864,0.0020278244046494365,0.06152508035302162,0.008463629335165023,0.07916289344429969
blind,q3,blind:q3,6555,0.004297364503145218,0.10826322436332703,0.013712804112583396,0.1991303592920303
blind,q4_farthest,blind:q4_farthest,6469,0.012010682374238968,0.46415576338768005,0.033234196901321365,0.6921041607856749
stress,q1_nearest,stress:q1_nearest,6385,0.0008731030393391848,0.026607569307088852,0.005374919064342975,0.04445434659719467
stress,q2,stress:q2,7003,0.0021453993394970894,0.06164778023958206,0.007198534579947589,0.07914730980992317
stress,q3,stress:q3,7311,0.003171110525727272,0.10829560458660126,0.011268735863268375,0.19412875920534134
stress,q4_farthest,stress:q4_farthest,7398,0.012420569080859423,0.4724286049604416,0.034094803780317304,0.7172228306531905
blind+stress,q1_nearest,blind+stress:q1_nearest,13867,0.0008889877935871482,0.02709829993546009,0.004748712573200463,0.044445942714810366
blind+stress,q2,blind+stress:q2,13867,0.00209977594204247,0.0615803562104702,0.007922448590397826,0.07915560528635979
blind+stress,q3,blind+stress:q3,13866,0.0035654775565490127,0.10826387256383896,0.012581750052049756,0.19652656838297844
blind+stress,q4_farthest,blind+stress:q4_farthest,13867,0.012199445627629757,0.4686751663684845,0.03370123170316215,0.7042998790740964
