sweep_label,nn_distance_quartile,group,n,median_weighted_abs_error,median_nn_distance_12d,p95_weighted_abs_error,p95_nn_distance_12d
S3_high_random,q1_nearest,S3_high_random:q1_nearest,4667,0.0004781950847245753,0.002521372400224209,0.0006917931430507451,0.005183609994128346
coupled_A1_A2_B2_random,q1_nearest,coupled_A1_A2_B2_random:q1_nearest,144,0.0012358360108919442,0.028503631241619587,0.006596980220638212,0.044252485036849976
coupled_A1_A2_B2_random,q2,coupled_A1_A2_B2_random:q2,194,0.002840067376382649,0.06678377464413643,0.009833053546026349,0.08013854809105396
coupled_A1_A2_B2_random,q3,coupled_A1_A2_B2_random:q3,621,0.005458400584757328,0.1378483772277832,0.014721358194947243,0.20643968880176544
coupled_A1_A2_B2_random,q4_farthest,coupled_A1_A2_B2_random:q4_farthest,541,0.008712535724043846,0.32690325379371643,0.025009745731949806,0.5083897113800049
coupled_A1_B2_S3_random,q1_nearest,coupled_A1_B2_S3_random:q1_nearest,326,0.000857602950418368,0.033432601019740105,0.002135633782017976,0.044948602095246315
coupled_A1_B2_S3_random,q2,coupled_A1_B2_S3_random:q2,1720,0.0012838441180065274,0.0681137703359127,0.002674104901961982,0.08020908497273922
coupled_A1_B2_S3_random,q3,coupled_A1_B2_S3_random:q3,3299,0.0015495766419917345,0.10750072449445724,0.0032750533195212484,0.19990042895078658
coupled_A1_B2_S3_random,q4_farthest,coupled_A1_B2_S3_random:q4_farthest,822,0.0023187947226688266,0.2606022357940674,0.0048871220787987035,0.3538037061691284
coupled_A1_S3_random,q1_nearest,coupled_A1_S3_random:q1_nearest,1386,0.0009499104635324329,0.03553877770900726,0.001967424643225968,0.04487755708396435
coupled_A1_S3_random,q2,coupled_A1_S3_random:q2,1570,0.0011856987257488072,0.05740785226225853,0.002292599633801728,0.0761031374335289
coupled_A1_S3_random,q3,coupled_A1_S3_random:q3,377,0.0016341740265488625,0.09781514108181,0.0030710607301443807,0.13816946148872375
coupled_A2_B2_random,q1_nearest,coupled_A2_B2_random:q1_nearest,277,0.0032313489355146885,0.03810257837176323,0.008053434081375597,0.04549050629138947
