epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,0.9238137037794346,0.6107784509658813,0.9238137037794346,0.6107784509658813,0.7722002267837524,0.9810086488723755,0.9170409440994263,0.923875706123163,0.5496828167031664,0.4078892767429352,0.5496828167031664,0.4078892767429352,0.0,0.0009574127857857634,0.5506402294889522,0.5506402294889522,0.7679136641084952,0.0006
10,0.06762704301727473,0.04444299638271332,0.06762704301727473,0.04444299638271332,0.05117131024599075,0.05495373532176018,0.07839027047157288,0.06752853147001657,0.07252618348319384,0.050589531660079956,0.07252618348319384,0.050589531660079956,0.0,0.002470778674364476,0.07499696215755831,0.07499696215755831,0.11701906474813573,0.0006
20,0.035897442691954086,0.02281923219561577,0.035897442691954086,0.02281923219561577,0.02688603661954403,0.02841874398291111,0.04363536462187767,0.03582662164796764,0.043757797608403114,0.029449671506881714,0.043757797608403114,0.029449671506881714,0.0,0.002005344319923663,0.04576314192832678,0.04576314192832678,0.08120379457370529,0.0006
30,0.025339824107186493,0.016114206984639168,0.025339824107186493,0.016114206984639168,0.01938622072339058,0.019471189007163048,0.030941076576709747,0.025288558287906892,0.032950867330391945,0.022117704153060913,0.032950867330391945,0.022117704153060913,0.0,0.0016481397668691976,0.034599007097261145,0.034599007097261145,0.06521974307775158,0.0006
40,0.01974341799655428,0.01252949982881546,0.01974341799655428,0.01252949982881546,0.015254116617143154,0.015207434073090553,0.024322494864463806,0.019701507805522264,0.026779054552720814,0.017932305112481117,0.026779054552720814,0.017932305112481117,0.0,0.0014013409526808733,0.028180395505401686,0.028180395505401686,0.05557790908828228,0.0006
50,0.01595692480817668,0.010191988199949265,0.01595692480817668,0.010191988199949265,0.0122353071346879,0.012282777577638626,0.019708795472979546,0.015922585660621852,0.022580662235931467,0.015118694864213467,0.022580662235931467,0.015118694864213467,0.0,0.0012190519780354203,0.023799714213966885,0.023799714213966885,0.04875406168556745,0.0006
60,0.01305890450316514,0.008314283564686775,0.01305890450316514,0.008314283564686775,0.010046201758086681,0.010267825797200203,0.01620163582265377,0.013030140526310345,0.019230097268352758,0.012792735360562801,0.019230097268352758,0.012792735360562801,0.0,0.0010950193142921828,0.02032511658264494,0.02032511658264494,0.04365207319350593,0.0006
70,0.011072665803752733,0.007094469387084246,0.011072665803752733,0.007094469387084246,0.008549584075808525,0.00892699509859085,0.013863571919500828,0.011047121942546432,0.016857787475663192,0.011215101927518845,0.016857787475663192,0.011215101927518845,0.0,0.0009865763353222967,0.01784436381098549,0.01784436381098549,0.03966768156409192,0.0006
80,0.009622297795240013,0.006206059362739325,0.009622297795240013,0.006206059362739325,0.007404855452477932,0.007878346368670464,0.012030838057398796,0.009600253496232131,0.014972499346175297,0.009972297586500645,0.014972499346175297,0.009972297586500645,0.0,0.000912547650946932,0.01588504699712223,0.01588504699712223,0.036453812842987224,0.0006
90,0.008537521721456307,0.005623552482575178,0.008537521721456307,0.005623552482575178,0.006577340420335531,0.007013360038399696,0.0107250502333045,0.008517500327270128,0.01361030604601452,0.00914892926812172,0.01361030604601452,0.00914892926812172,0.0,0.0008503877608488348,0.014460693806863354,0.014460693806863354,0.03391295082781001,0.0006
100,0.007733455823803019,0.005118335597217083,0.007733455823803019,0.005118335597217083,0.005913817789405584,0.006473984103649855,0.009706079959869385,0.007715401311755678,0.012477063173427314,0.008417642675340176,0.012477063173427314,0.008417642675340176,0.0,0.000798561505697732,0.013275624679125046,0.013275624679125046,0.03178745308750365,0.0006
110,0.007145306028733488,0.004851003643125296,0.007145306028733488,0.004851003643125296,0.005453641526401043,0.005939060356467962,0.008915698155760765,0.007129102495808194,0.011699422677318327,0.008020292967557907,0.011699422677318327,0.008020292967557907,0.0,0.0007654769837015975,0.012464899661019924,0.012464899661019924,0.0300028542863001,0.0006
120,0.006542221638526768,0.004440379329025745,0.006542221638526768,0.004440379329025745,0.005025525577366352,0.005546111147850752,0.00823389831930399,0.006526738555102236,0.010896487859550242,0.007452886551618576,0.010896487859550242,0.007452886551618576,0.0,0.0007389263246571295,0.011635414184207372,0.011635414184207372,0.02851878189411343,0.0006
