split,nn_distance_quartile,group,n,median_weighted_abs_error,median_nn_distance_12d,p95_weighted_abs_error,p95_nn_distance_12d
blind,q1_nearest,blind:q1_nearest,7408,0.0012634335434995592,0.026533080264925957,0.005283992458134886,0.042360843159258366
blind,q2,blind:q2,6882,0.0024507304187864065,0.058041468262672424,0.00894894702360034,0.07363884672522544
blind,q3,blind:q3,6648,0.004193259170278907,0.09742780029773712,0.012522443057969209,0.1779589809477329
blind,q4_farthest,blind:q4_farthest,6432,0.011481810361146927,0.43859539926052094,0.03104990245774388,0.6465252429246903
stress,q1_nearest,stress:q1_nearest,6459,0.001272824127227068,0.02582177147269249,0.005991749092936507,0.0424095593392849
stress,q2,stress:q2,6985,0.002505130833014846,0.05812007933855057,0.00842477791011331,0.07321936041116714
stress,q3,stress:q3,7218,0.0031627501593902707,0.09862207248806953,0.012440912332385775,0.1752938725054264
stress,q4_farthest,stress:q4_farthest,7435,0.011722378432750702,0.443674772977829,0.03174994587898254,0.6618091642856597
blind+stress,q1_nearest,blind+stress:q1_nearest,13867,0.0012694457545876503,0.02620626613497734,0.005540205491706728,0.04239851348102092
blind+stress,q2,blind+stress:q2,13867,0.002488387282937765,0.05807746946811676,0.008677855227142569,0.07344488278031348
blind+stress,q3,blind+stress:q3,13866,0.003527389606460929,0.09800852090120316,0.012496713316068053,0.176864892244339
blind+stress,q4_farthest,blind+stress:q4_farthest,13867,0.01161881908774376,0.440524697303772,0.03151612021028994,0.6550988137722015
