sweep_label,nn_distance_quartile,group,n,median_weighted_abs_error,median_nn_distance_12d,p95_weighted_abs_error,p95_nn_distance_12d
S3_high_random,q1_nearest,S3_high_random:q1_nearest,4667,0.000915858952794224,0.0023841136135160923,0.001081056729890406,0.004914226662367582
coupled_A1_A2_B2_random,q1_nearest,coupled_A1_A2_B2_random:q1_nearest,139,0.001552844769321382,0.02630375139415264,0.005337251722812651,0.04169461019337177
coupled_A1_A2_B2_random,q2,coupled_A1_A2_B2_random:q2,188,0.0026987188030034304,0.062495606020092964,0.009333401499316097,0.07477531842887401
coupled_A1_A2_B2_random,q3,coupled_A1_A2_B2_random:q3,660,0.004771101288497448,0.13156746327877045,0.012707179598510263,0.18619570434093474
coupled_A1_A2_B2_random,q4_farthest,coupled_A1_A2_B2_random:q4_farthest,513,0.006625635549426079,0.2382274568080902,0.016548696532845495,0.3627197384834289
coupled_A1_B2_S3_random,q1_nearest,coupled_A1_B2_S3_random:q1_nearest,317,0.0012025395408272743,0.031809914857149124,0.002673464687541127,0.042962126433849335
coupled_A1_B2_S3_random,q2,coupled_A1_B2_S3_random:q2,1468,0.0016175732598640025,0.06403843685984612,0.0031686257221735965,0.07421211190521718
coupled_A1_B2_S3_random,q3,coupled_A1_B2_S3_random:q3,3398,0.0018837259849533439,0.09906798973679543,0.0035305566387251004,0.17725567296147346
coupled_A1_B2_S3_random,q4_farthest,coupled_A1_B2_S3_random:q4_farthest,984,0.0025146716507151723,0.23763495683670044,0.004951892979443072,0.3327228605747221
coupled_A1_S3_random,q1_nearest,coupled_A1_S3_random:q1_nearest,1313,0.0012379158288240433,0.03415064513683319,0.002500555943697687,0.04279345571994781
coupled_A1_S3_random,q2,coupled_A1_S3_random:q2,1601,0.0015491117956116796,0.054638538509607315,0.002916355850175023,0.07118687778711319
coupled_A1_S3_random,q3,coupled_A1_S3_random:q3,418,0.001984303118661046,0.09227973967790604,0.003647688403725624,0.13140111640095703
coupled_A1_S3_random,q4_farthest,coupled_A1_S3_random:q4_farthest,1,0.0037332740612328053,0.20024336874485016,0.0037332740612328053,0.20024336874485016
coupled_A2_B2_random,q1_nearest,coupled_A2_B2_random:q1_nearest,331,0.0031372769735753536,0.03619035705924034,0.008438864257186651,0.043193576857447624
coupled_A2_B2_random,q2,coupled_A2_B2_random:q2,1768,0.0032225893810391426,0.0619877390563488,0.008480826392769812,0.07409841492772101
coupled_A2_B2_random,q3,coupled_A2_B2_random:q3,1901,0.0038906149566173553,0.09005974233150482,0.01146878395229578,0.12093771994113922
coupled_A3_S3_random,q1_nearest,coupled_A3_S3_random:q1_nearest,2468,0.001764285727404058,0.033382708206772804,0.003112459310796112,0.042818419821560386
coupled_A3_S3_random,q2,coupled_A3_S3_random:q2,1789,0.001975832972675562,0.052510153502225876,0.0036059988662600516,0.07003662735223769
coupled_A3_S3_random,q3,coupled_A3_S3_random:q3,410,0.0023803459480404854,0.09021193534135818,0.004368817224167286,0.11764267049729824
coupled_B2_S3_random,q1_nearest,coupled_B2_S3_random:q1_nearest,2168,0.001501705322880298,0.03427587263286114,0.0026308538974262785,0.04304993487894535
coupled_B2_S3_random,q2,coupled_B2_S3_random:q2,1986,0.0015906539047136903,0.053251730278134346,0.003013430454302579,0.07115873694419861
coupled_B2_S3_random,q3,coupled_B2_S3_random:q3,513,0.001693630707450211,0.09076406806707382,0.0034873395226895807,0.1225813493132591
coupled_C1_A1_C3_A2_random,q1_nearest,coupled_C1_A1_C3_A2_random:q1_nearest,10,0.002057295641861856,0.008501796051859856,0.006050536828115582,0.04078132286667823
coupled_C1_A1_C3_A2_random,q2,coupled_C1_A1_C3_A2_random:q2,43,0.004728203173726797,0.0626654401421547,0.014407254010438915,0.07378004565834999
coupled_C1_A1_C3_A2_random,q3,coupled_C1_A1_C3_A2_random:q3,1343,0.007366210222244263,0.15071237087249756,0.01861801445484161,0.18650072664022446
coupled_C1_A1_C3_A2_random,q4_farthest,coupled_C1_A1_C3_A2_random:q4_farthest,788,0.009164347779005766,0.21763361990451813,0.022068728972226382,0.2680538222193718
coupled_C1_C3_A2_random,q1_nearest,coupled_C1_C3_A2_random:q1_nearest,629,0.003971312195062637,0.03568865358829498,0.009722413681447509,0.04291986897587776
coupled_C1_C3_A2_random,q2,coupled_C1_C3_A2_random:q2,1991,0.004119026008993387,0.06052178516983986,0.009575766511261463,0.07386218383908272
coupled_C1_C3_A2_random,q3,coupled_C1_C3_A2_random:q3,889,0.004531452432274818,0.08454081416130066,0.011777533590793608,0.10965435802936553
coupled_C1_C3_S3_random,q1_nearest,coupled_C1_C3_S3_random:q1_nearest,193,0.003966142423450947,0.037475213408470154,0.010690080560743808,0.043296602368354795
coupled_C1_C3_S3_random,q2,coupled_C1_C3_S3_random:q2,749,0.004083408508449793,0.06060124188661575,0.00969185009598732,0.07338636815547943
coupled_C1_C3_S3_random,q3,coupled_C1_C3_S3_random:q3,391,0.00500165019184351,0.08691871166229248,0.012409084476530552,0.11236277595162392
coupled_C3_A3_S3_random,q1_nearest,coupled_C3_A3_S3_random:q1_nearest,152,0.005792462034150958,0.036979859694838524,0.013633021898567676,0.0431668734177947
coupled_C3_A3_S3_random,q2,coupled_C3_A3_S3_random:q2,1441,0.005340259522199631,0.06356008350849152,0.01298372633755207,0.07415841519832611
coupled_C3_A3_S3_random,q3,coupled_C3_A3_S3_random:q3,2399,0.006439723074436188,0.09307665377855301,0.014122185111045836,0.14779468476772306
coupled_C3_A3_S3_random,q4_farthest,coupled_C3_A3_S3_random:q4_farthest,8,0.008904008194804192,0.1983668953180313,0.012925067264586684,0.20901190042495726
coupled_C3_B2_random,q1_nearest,coupled_C3_B2_random:q1_nearest,1004,0.00421322463080287,0.03052283078432083,0.010167265776544804,0.04231594316661358
coupled_C3_B2_random,q2,coupled_C3_B2_random:q2,326,0.005379014881327748,0.050520626828074455,0.012337114196270704,0.06455219723284245
coupled_C3_B2_random,q3,coupled_C3_B2_random:q3,3,0.008458945900201797,0.0822206437587738,0.010193087067455054,0.08590133860707283
coupled_full_random,q1_nearest,coupled_full_random:q1_nearest,1,0.002354334108531475,0.040607623755931854,0.002354334108531475,0.040607623755931854
coupled_full_random,q2,coupled_full_random:q2,4,0.0036165365017950535,0.06087556295096874,0.009544814517721531,0.07096636034548283
coupled_full_random,q3,coupled_full_random:q3,39,0.0056406063959002495,0.1468202918767929,0.011707889009267091,0.18850851953029632
coupled_full_random,q4_farthest,coupled_full_random:q4_farthest,8012,0.014613133855164051,0.5253988802433014,0.03573539908975362,0.6776825398206711
coupled_sparse_random,q1_nearest,coupled_sparse_random:q1_nearest,473,0.0015808818861842155,0.024638110771775246,0.006158228684216734,0.04207898527383804
coupled_sparse_random,q2,coupled_sparse_random:q2,513,0.0028446486685425043,0.05838301405310631,0.009017552621662615,0.07366760373115538
coupled_sparse_random,q3,coupled_sparse_random:q3,1496,0.004314399091526866,0.1333135962486267,0.013519484316930175,0.1849401369690895
coupled_sparse_random,q4_farthest,coupled_sparse_random:q4_farthest,3561,0.00904998742043972,0.3191137909889221,0.025063257664442062,0.5480828881263733
