split,row_key,row_index,sweep_label,dataset_version,nn_distance_12d,overall_abs_error,weighted_abs_error,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,nn_distance_quartile
stress,1a8e9b5835b6a7e7a2f9,532568,coupled_full_random,enhanced_v12_benchmark_v2,0.6894245147705078,12.276252746582031,0.16562941670417786,8.098129272460938,0.0524829626083374,13.404177210228992,0.08322451460738561,0.48569789128628826,79.23072736948743,7.386644365642014,86.66679909956383,72.95136537292399,2.9047428868606815,130.38939583713278,130.76394099297136,q4_farthest
blind,d5fd7a049788ad6bf569,501953,coupled_full_random,enhanced_v12_benchmark_v2,0.47962167859077454,9.72488784790039,0.13581418991088867,12.952529907226562,0.058041930198669434,12.99675684167366,0.30225940023593334,0.12358178616275509,66.83438782401014,2.7312149409794375,91.73086922213683,31.585184338246016,1.9419855592077582,127.70094283589435,98.19853284220721,q4_farthest
stress,cd084a506da738ee0085,570774,coupled_full_random,enhanced_v12_benchmark_v2,0.5554166436195374,8.250956535339355,0.12304944545030594,10.251907348632812,0.04116165637969971,13.447028448161786,0.48174911969116335,0.41661451741809186,50.926060967904796,5.43045998503623,62.09662402797885,88.25767491120973,0.7415976382591715,-105.38111881993933,-133.5842253492711,q4_farthest
stress,374c1c03b680e0d9459d,568949,coupled_full_random,enhanced_v12_benchmark_v2,0.6556780338287354,7.967104434967041,0.11388839781284332,4.777172088623047,0.019564323127269745,20.328561009329633,0.15071851580927229,0.07640446204913241,36.79929015568639,20.31203959196059,79.52548695018828,59.78510652023682,2.5067332622130594,77.5134097859605,103.25642545422306,q4_farthest
stress,7c9977fcb1b4ec714ec6,568065,coupled_full_random,enhanced_v12_benchmark_v2,0.6329385042190552,7.62127161026001,0.10681109130382538,8.581031799316406,0.0375748872756958,7.529624911862726,0.20106292890167604,0.3546262183945497,43.85858492429178,9.495215787453667,60.6305284267558,65.7943019891992,1.6583146019425072,-114.0635140720546,27.928805554431392,q4_farthest
stress,5e8019897ae2dfb72934,512461,coupled_C1_C3_A2_random,enhanced_v12_benchmark_v2,0.05789951980113983,6.961732864379883,0.10364878922700882,77.99576568603516,0.3686208724975586,0.5495403695648478,0.0656806430928539,1.1470382573688291,0.8479295028743252,1.8214869268317886,0.0,0.0,0.0,0.0,0.0,q2
blind,83b18843fa8288628f58,566098,coupled_full_random,enhanced_v12_benchmark_v2,0.47289690375328064,7.099453449249268,0.0977630615234375,5.619350433349609,0.050923943519592285,5.914143308579487,0.09323629443393044,0.44735352709055026,48.30034107255597,13.580429346688966,91.58815045518614,95.80366091310391,2.191356623071773,-4.75395965497782,147.83847031581928,q4_farthest
stress,e37f8554506c1732aa1a,849,coupled_full_random,parent_cached_dataset,0.505062997341156,6.675950527191162,0.09491567313671112,5.726520538330078,0.01940131187438965,9.2891437585499,0.2855642792731993,0.3419503155425166,40.398912594452895,3.0390340572132244,58.880111476980666,69.00126983004157,0.9489324372010182,62.343860033958094,-152.9737198741444,q4_farthest
stress,b2b8255d467623fd1776,564442,coupled_full_random,enhanced_v12_benchmark_v2,0.40663930773735046,6.469732284545898,0.09275931119918823,8.382278442382812,0.054547786712646484,8.46771142536477,0.18276689993144637,0.5806516525875914,41.01157521041952,2.583613767352517,77.10817306083199,8.947711630460788,1.1848165337280696,-164.9910029041463,3.678232402183852,q4_farthest
blind,10db35f953d0ce332d77,554989,coupled_full_random,enhanced_v12_benchmark_v2,0.6592008471488953,6.285541534423828,0.09102395176887512,7.123687744140625,0.03772425651550293,9.904004015428594,0.26115355371036547,0.25137548690049333,37.193035118822095,3.2960320903139175,97.81515428199803,78.06331313156447,1.4862328545271202,68.95934473572149,107.46274160172595,q4_farthest
