name,mean,std,min,max,p01,p99,near_constant
C1,0.019053740426898003,41.69242858886719,-99.99961853027344,99.99996185302734,-96.59040069580078,96.61770629882812,False
C3,0.5719751715660095,0.6647248268127441,0.0,2.0,0.0,1.9679971933364868,False
A1_x,0.003014671616256237,19.799516677856445,-60.0,60.0,-52.46536636352539,52.43324279785156,False
A1_y,0.014187043532729149,19.83286476135254,-60.0,60.0,-52.42238998413086,52.4383544921875,False
B2_x,0.0008800699142739177,0.9785032272338867,-3.0,3.0,-2.6125686168670654,2.6174824237823486,False
B2_y,0.00015976594295352697,0.9775519371032715,-3.0,3.0,-2.613049030303955,2.6148669719696045,False
A2_x,0.001517131575383246,5.002116680145264,-16.0,16.0,-13.874465942382812,13.846668243408203,False
A2_y,-0.00044470091233961284,5.005061626434326,-16.0,16.0,-13.870492935180664,13.856276512145996,False
S3_x,-0.0013916827738285065,44.51430130004883,-100.0,100.0,-92.32550048828125,92.29615783691406,False
S3_y,0.027157524600625038,44.52849197387695,-100.0,100.0,-92.30857849121094,92.35494995117188,False
A3_x,-0.0346866250038147,30.78253746032715,-100.0,100.0,-86.14313507080078,86.08533477783203,False
A3_y,0.046543676406145096,30.789810180664062,-100.0,100.0,-86.15042877197266,86.08409881591797,False
