epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,0.5263448785797742,0.2654179334640503,0.5263448785797742,0.2654179334640503,0.31457042694091797,0.4062120318412781,0.39788320660591125,0.5271243618167463,0.39599140876923583,0.2284717559814453,0.39599140876923583,0.2284717559814453,0.0,0.0011276409282810996,0.39711904969751693,0.39711904969751693,0.6170827461512151,0.0006
10,0.05016857770329487,0.02544367127120495,0.05016857770329487,0.02544367127120495,0.02766931802034378,0.030253620818257332,0.04420172795653343,0.050204783753346374,0.059587707971389785,0.031444452702999115,0.059587707971389785,0.031444452702999115,0.0,0.0018478008231316804,0.06143550879452146,0.06143550879452146,0.10113781993417703,0.0006
20,0.02635684922060226,0.012972635217010975,0.02635684922060226,0.012972635217010975,0.014928712509572506,0.015147707425057888,0.023674622178077698,0.026373124713837213,0.035435867298869834,0.017856435850262642,0.035435867298869834,0.017856435850262642,0.0,0.001401816229844481,0.03683768352871432,0.03683768352871432,0.06929692150188532,0.0006
30,0.017210353180710635,0.008485116064548492,0.017210353180710635,0.008485116064548492,0.009948852472007275,0.01002454198896885,0.01587505079805851,0.017218455370939637,0.02510454465223238,0.012515472248196602,0.02510454465223238,0.012515472248196602,0.0,0.0011376807179825025,0.02624222537021488,0.02624222537021488,0.0544987502049154,0.0006
40,0.012876897979419299,0.006331140175461769,0.012876897979419299,0.006331140175461769,0.007378441747277975,0.00744664715602994,0.0119753647595644,0.01288236840070413,0.019651810331616705,0.009743211790919304,0.019651810331616705,0.009743211790919304,0.0,0.0009919034310442395,0.020643713762660946,0.020643713762660946,0.046055899193017134,0.0006
50,0.010521270111892965,0.005193892866373062,0.010521270111892965,0.005193892866373062,0.005904721096158028,0.006095413584262133,0.009717663750052452,0.010526146008237517,0.016632893951602966,0.0082144346088171,0.016632893951602966,0.0082144346088171,0.0,0.0008958298099364152,0.01752872376153938,0.01752872376153938,0.04071541460765057,0.0006
60,0.008959004846627405,0.0044326926581561565,0.008959004846627405,0.0044326926581561565,0.004884682130068541,0.005186267662793398,0.008221827447414398,0.008963477953126507,0.014506146113299902,0.007138032000511885,0.014506146113299902,0.007138032000511885,0.0,0.0008383067601869464,0.015344452873486849,0.015344452873486849,0.03695687928333156,0.0006
70,0.00800973589556345,0.003936232998967171,0.00800973589556345,0.003936232998967171,0.0042421999387443066,0.004765228368341923,0.007337762974202633,0.008013813593871794,0.013134381349541476,0.0064125340431928635,0.013134381349541476,0.0064125340431928635,0.0,0.000798460539186619,0.013932841888728096,0.013932841888728096,0.034273114459353694,0.0006
80,0.007087453023120107,0.0036052244249731302,0.007087453023120107,0.0036052244249731302,0.0038027705159038305,0.004170275293290615,0.006540964357554913,0.007090768896647893,0.011893409480529792,0.005916425492614508,0.011893409480529792,0.005916425492614508,0.0,0.000785488590012932,0.012678898070542724,0.012678898070542724,0.032193787988833364,0.0006
90,0.0066097006062846506,0.0033323969691991806,0.0066097006062846506,0.0033323969691991806,0.0034598533529788256,0.003935622982680798,0.006044232752174139,0.006613132118152141,0.011125231114016698,0.0055144489742815495,0.011125231114016698,0.0055144489742815495,0.0,0.0007690200433022068,0.011894251157318904,0.011894251157318904,0.030546574050917055,0.0006
