split,nn_distance_quartile,group,n,median_weighted_abs_error,median_nn_distance_12d,p95_weighted_abs_error,p95_nn_distance_12d
blind,q1_nearest,blind:q1_nearest,7471,0.0011275305878371,0.02632053941488266,0.004986117128282785,0.04207417368888855
blind,q2,blind:q2,6820,0.0023691292153671384,0.059429168701171875,0.008936961460858579,0.0762807160615921
blind,q3,blind:q3,6602,0.004747591679915786,0.10432014614343643,0.01458825888112187,0.1945107452571392
blind,q4_farthest,blind:q4_farthest,6477,0.012661008164286613,0.45859843492507935,0.03381782025098801,0.675077223777771
stress,q1_nearest,stress:q1_nearest,6396,0.0010911569115705788,0.025368761271238327,0.00603682710789144,0.04218519199639559
stress,q2,stress:q2,7047,0.002381065161898732,0.05925964564085007,0.008551913406699896,0.07621448412537575
stress,q3,stress:q3,7264,0.0036533833481371403,0.1047925092279911,0.011870406288653606,0.19070005416870114
stress,q4_farthest,stress:q4_farthest,7390,0.013089013285934925,0.4681427776813507,0.03593129664659497,0.701049184799194
blind+stress,q1_nearest,blind+stress:q1_nearest,13867,0.0011130337370559573,0.02588016167283058,0.005376757914200423,0.04212568439543247
blind+stress,q2,blind+stress:q2,13867,0.002374812960624695,0.059347935020923615,0.00874907737597823,0.0762647233903408
blind+stress,q3,blind+stress:q3,13866,0.0040669257286936045,0.10462787747383118,0.013316723285242915,0.19265564531087875
blind+stress,q4_farthest,blind+stress:q4_farthest,13867,0.012896659784018993,0.4638311564922333,0.0349729973822832,0.6897552132606505
