sweep_label,nn_distance_quartile,group,n,median_weighted_abs_error,median_nn_distance_12d,p95_weighted_abs_error,p95_nn_distance_12d
S3_high_random,q1_nearest,S3_high_random:q1_nearest,4667,0.000659067474771291,0.0023495135828852654,0.0008966768393293022,0.004904136061668396
coupled_A1_A2_B2_random,q1_nearest,coupled_A1_A2_B2_random:q1_nearest,133,0.0015031411312520504,0.02605242095887661,0.0059471286833286275,0.041525761038064955
coupled_A1_A2_B2_random,q2,coupled_A1_A2_B2_random:q2,189,0.0026788862887769938,0.06398351490497589,0.010029513761401175,0.07690714001655578
coupled_A1_A2_B2_random,q3,coupled_A1_A2_B2_random:q3,636,0.005211035255342722,0.13322219997644424,0.014767607906833291,0.20299554243683815
coupled_A1_A2_B2_random,q4_farthest,coupled_A1_A2_B2_random:q4_farthest,542,0.00921982154250145,0.32375212013721466,0.026478070579469194,0.5033053711056706
coupled_A1_B2_S3_random,q1_nearest,coupled_A1_B2_S3_random:q1_nearest,344,0.0010733789531514049,0.03225623816251755,0.002581604302395135,0.04274381231516599
coupled_A1_B2_S3_random,q2,coupled_A1_B2_S3_random:q2,1884,0.0015466121258214116,0.06588497385382652,0.00307929425034672,0.07704021967947483
coupled_A1_B2_S3_random,q3,coupled_A1_B2_S3_random:q3,3150,0.0018400205881334841,0.10295611619949341,0.0037951832986436776,0.19698938503861424
coupled_A1_B2_S3_random,q4_farthest,coupled_A1_B2_S3_random:q4_farthest,789,0.0026754476130008698,0.25200310349464417,0.00559499068185687,0.3453768551349639
coupled_A1_S3_random,q1_nearest,coupled_A1_S3_random:q1_nearest,1277,0.0012509343214333057,0.03412007912993431,0.002352227596566081,0.04269069954752922
coupled_A1_S3_random,q2,coupled_A1_S3_random:q2,1656,0.00161149469204247,0.05465041473507881,0.002777095593046397,0.07330786995589733
coupled_A1_S3_random,q3,coupled_A1_S3_random:q3,400,0.0020696938736364245,0.09541099146008492,0.004013757384382186,0.13776412159204482
coupled_A2_B2_random,q1_nearest,coupled_A2_B2_random:q1_nearest,228,0.0033074256498366594,0.03578798472881317,0.008511892100796099,0.04291429482400417
coupled_A2_B2_random,q2,coupled_A2_B2_random:q2,1416,0.003515404649078846,0.06334451213479042,0.0090848368126899,0.07685564085841179
coupled_A2_B2_random,q3,coupled_A2_B2_random:q3,2344,0.005609027808532119,0.10481761023402214,0.015380881307646626,0.1582661561667919
coupled_A2_B2_random,q4_farthest,coupled_A2_B2_random:q4_farthest,12,0.017821455374360085,0.2220033034682274,0.02818326763808727,0.2453809790313244
coupled_A3_S3_random,q1_nearest,coupled_A3_S3_random:q1_nearest,2613,0.0016006208024919033,0.03277922421693802,0.0027918790932744742,0.042496556788682936
coupled_A3_S3_random,q2,coupled_A3_S3_random:q2,1672,0.0018344111158512533,0.05227215029299259,0.003257278690580278,0.07198905795812606
coupled_A3_S3_random,q3,coupled_A3_S3_random:q3,382,0.0022725820308551192,0.09198375791311264,0.003978287242352962,0.12272576875984668
coupled_B2_S3_random,q1_nearest,coupled_B2_S3_random:q1_nearest,2351,0.0012295132037252188,0.03356747701764107,0.002496546949259937,0.042567767202854156
coupled_B2_S3_random,q2,coupled_B2_S3_random:q2,1853,0.0013539963401854038,0.05293857678771019,0.0030848437920212705,0.07424776256084441
coupled_B2_S3_random,q3,coupled_B2_S3_random:q3,463,0.0015359311364591122,0.0944419577717781,0.003441634750925004,0.1252206951379776
coupled_C1_A1_C3_A2_random,q1_nearest,coupled_C1_A1_C3_A2_random:q1_nearest,10,0.0017137256218120456,0.008501796051859856,0.006968074571341274,0.04078132286667823
coupled_C1_A1_C3_A2_random,q2,coupled_C1_A1_C3_A2_random:q2,47,0.004952325485646725,0.0696575939655304,0.012072213552892203,0.07753603979945183
coupled_C1_A1_C3_A2_random,q3,coupled_C1_A1_C3_A2_random:q3,1018,0.007783555192872882,0.15434911102056503,0.02044275002554059,0.20456308498978615
coupled_C1_A1_C3_A2_random,q4_farthest,coupled_C1_A1_C3_A2_random:q4_farthest,1109,0.010301119647920132,0.26827171444892883,0.026279174536466596,0.36805893778800963
coupled_C1_C3_A2_random,q1_nearest,coupled_C1_C3_A2_random:q1_nearest,464,0.004155677743256092,0.03522603027522564,0.010426450427621602,0.042810647189617156
coupled_C1_C3_A2_random,q2,coupled_C1_C3_A2_random:q2,1751,0.0044332509860396385,0.06237208470702171,0.010721804108470678,0.07669608667492867
coupled_C1_C3_A2_random,q3,coupled_C1_C3_A2_random:q3,1294,0.00529130082577467,0.09448877722024918,0.012854016805067656,0.13118858560919758
coupled_C1_C3_S3_random,q1_nearest,coupled_C1_C3_S3_random:q1_nearest,189,0.0038668708875775337,0.03705431520938873,0.009549410454928874,0.04314465448260307
coupled_C1_C3_S3_random,q2,coupled_C1_C3_S3_random:q2,813,0.004324683919548988,0.06189074367284775,0.01051702369004488,0.07616120874881745
coupled_C1_C3_S3_random,q3,coupled_C1_C3_S3_random:q3,331,0.005695474334061146,0.08901000767946243,0.012642581481486559,0.11458804085850716
coupled_C3_A3_S3_random,q1_nearest,coupled_C3_A3_S3_random:q1_nearest,158,0.004761840682476759,0.03593328036367893,0.010570779768750073,0.04312433134764433
coupled_C3_A3_S3_random,q2,coupled_C3_A3_S3_random:q2,1680,0.0050279025454074144,0.0650840736925602,0.011233589006587863,0.07711576223373413
coupled_C3_A3_S3_random,q3,coupled_C3_A3_S3_random:q3,2155,0.006021446548402309,0.09695161879062653,0.012766982801258563,0.15686142891645433
coupled_C3_A3_S3_random,q4_farthest,coupled_C3_A3_S3_random:q4_farthest,7,0.011245600879192352,0.21576009690761566,0.0160388296470046,0.21787181496620178
coupled_C3_B2_random,q1_nearest,coupled_C3_B2_random:q1_nearest,962,0.004430887987837195,0.030935700051486492,0.010417707031592722,0.04242067523300647
coupled_C3_B2_random,q2,coupled_C3_B2_random:q2,366,0.0052117479499429464,0.05084412172436714,0.012520885793492198,0.06570171192288399
coupled_C3_B2_random,q3,coupled_C3_B2_random:q3,5,0.006730919238179922,0.0822206437587738,0.012221009843051432,0.08561719506978989
coupled_full_random,q1_nearest,coupled_full_random:q1_nearest,1,0.003778785467147827,0.040607623755931854,0.003778785467147827,0.040607623755931854
coupled_full_random,q2,coupled_full_random:q2,4,0.0025799410650506616,0.06087556295096874,0.0068582595442421715,0.07096636034548283
coupled_full_random,q3,coupled_full_random:q3,47,0.00604798411950469,0.16447904706001282,0.011944181285798548,0.20803089439868927
coupled_full_random,q4_farthest,coupled_full_random:q4_farthest,8004,0.01582159288227558,0.5446405708789825,0.03893519826233385,0.719310787320137
coupled_sparse_random,q1_nearest,coupled_sparse_random:q1_nearest,468,0.0015353221679106355,0.024286397732794285,0.0066674291389062995,0.04207260310649872
coupled_sparse_random,q2,coupled_sparse_random:q2,536,0.002795731066726148,0.0597502700984478,0.008614959195256233,0.07645782455801964
coupled_sparse_random,q3,coupled_sparse_random:q3,1635,0.004832309205085039,0.14135229587554932,0.015119689796119927,0.20419660210609436
coupled_sparse_random,q4_farthest,coupled_sparse_random:q4_farthest,3404,0.010036346036940813,0.3570936620235443,0.029114097263664006,0.5818037450313568
