epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,0.7176287092013006,0.34463053941726685,0.7176287092013006,0.34463053941726685,0.42568913102149963,0.5411401987075806,0.5480776429176331,0.7188660119199695,0.4604182125423074,0.27605050802230835,0.4604182125423074,0.27605050802230835,0.0,0.0008765262294751017,0.4612947387717825,0.4612947387717825,0.6462271584520947,0.0006
10,0.04808331831908675,0.031047597527503967,0.04808331831908675,0.031047597527503967,0.034840356558561325,0.03790130838751793,0.055474333465099335,0.04802938149807866,0.05712899943769808,0.038726549595594406,0.05712899943769808,0.038726549595594406,0.0,0.0019785866346034614,0.05910758607230154,0.05910758607230154,0.09626021946576642,0.0006
20,0.0265890656815917,0.0166587233543396,0.0265890656815917,0.0166587233543396,0.01960904896259308,0.02047572284936905,0.0321878157556057,0.026548207991945065,0.03492457816103215,0.022762367501854897,0.03492457816103215,0.022762367501854897,0.0,0.0015816904764995986,0.03650626863753175,0.03650626863753175,0.06650487569598279,0.0006
30,0.01820117370948463,0.011331032030284405,0.01820117370948463,0.011331032030284405,0.013641799800097942,0.013553834520280361,0.021986981853842735,0.01817354625008225,0.025576010857352546,0.01648702658712864,0.025576010857352546,0.01648702658712864,0.0,0.00131289879912966,0.026888909656482208,0.026888909656482208,0.053167831884810245,0.0006
40,0.013487258636445806,0.008424453437328339,0.013487258636445806,0.008424453437328339,0.010195216163992882,0.01002427376806736,0.016344664618372917,0.013466406352806779,0.020020861320715868,0.012896867468953133,0.020020861320715868,0.012896867468953133,0.0,0.0011438627174821376,0.021164724038198007,0.021164724038198007,0.044948045511693,0.0006
50,0.01085251238153568,0.006751620676368475,0.01085251238153568,0.006751620676368475,0.008128569461405277,0.00817885808646679,0.013037984259426594,0.010836563840799514,0.016684685956538787,0.010670867748558521,0.016684685956538787,0.010670867748558521,0.0,0.001012451745901816,0.017697137702440604,0.017697137702440604,0.03947057016099727,0.0006
60,0.009070952472436283,0.005673568230122328,0.009070952472436283,0.005673568230122328,0.006791165564209223,0.006927513051778078,0.010999761521816254,0.00905687648072895,0.014376707754781224,0.009217813611030579,0.014376707754781224,0.009217813611030579,0.0,0.0009386319192051111,0.015315339673986336,0.015315339673986336,0.03555943315108127,0.0006
70,0.007975800199322314,0.005136179272085428,0.007975800199322314,0.005136179272085428,0.00595564441755414,0.006011179182678461,0.009719721041619778,0.007963073751991403,0.01281415403178663,0.008327857591211796,0.01281415403178663,0.008327857591211796,0.0,0.0008790938974618192,0.01369324792924845,0.01369324792924845,0.03262111333233182,0.0006
80,0.00696963475082536,0.004485925659537315,0.00696963475082536,0.004485925659537315,0.005138984881341457,0.005370602011680603,0.008416175842285156,0.006959078288828182,0.011531629831230012,0.007478305138647556,0.011531629831230012,0.007478305138647556,0.0,0.0008376542752166091,0.01236928410644662,0.01236928410644662,0.030365851372381576,0.0006
90,0.006298808432597461,0.004094533622264862,0.006298808432597461,0.004094533622264862,0.004597970750182867,0.00490843690931797,0.007649926468729973,0.006288948443890361,0.010588427310454802,0.006894459016621113,0.010588427310454802,0.006894459016621113,0.0,0.0008063585262307232,0.011394785836685526,0.011394785836685526,0.028544646494414086,0.0006
