epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,1.7733994722366333,1.8486026525497437,1.7733994722366333,1.8486026525497437,1.8540771007537842,1.7887691259384155,1.7583051919937134,1.7750189304351807,0.9109945893287659,0.9565346240997314,0.9109945893287659,0.9565346240997314,0.0,2.513769743472949e-07,0.9109948407057402,0.9109948407057402,0.9249846339225769,0.0006
25,0.6668394804000854,0.8199931979179382,0.6668394804000854,0.8199931979179382,0.6670068502426147,0.7698203921318054,0.7001067399978638,0.6632707715034485,0.4262159764766693,0.5219007730484009,0.4262159764766693,0.5219007730484009,0.0,0.0013742517912760377,0.42759022826794535,0.42759022826794535,0.44899335503578186,0.0006
50,0.2780415415763855,0.3584568500518799,0.2780415415763855,0.3584568500518799,0.2861044704914093,0.3453230559825897,0.2934652268886566,0.27638697624206543,0.2198970913887024,0.2888282239437103,0.2198970913887024,0.2888282239437103,0.0,0.0021150452084839344,0.22201213659718633,0.22201213659718633,0.2593250274658203,0.0006
75,0.13824400305747986,0.20341835916042328,0.13824400305747986,0.20341835916042328,0.1150345429778099,0.15127862989902496,0.16146378219127655,0.13575313985347748,0.13076595962047577,0.1914314180612564,0.13076595962047577,0.1914314180612564,0.0,0.002610670868307352,0.13337663048878312,0.13337663048878312,0.17826277017593384,0.0006
100,0.10301441699266434,0.1616000384092331,0.10301441699266434,0.1616000384092331,0.08899083733558655,0.11762567609548569,0.12593582272529602,0.10055555403232574,0.10153760761022568,0.15647147595882416,0.10153760761022568,0.15647147595882416,0.0,0.002603629371151328,0.104141236981377,0.104141236981377,0.14747421443462372,0.0006
125,0.08465802669525146,0.1361154019832611,0.08465802669525146,0.1361154019832611,0.0756872370839119,0.09942449629306793,0.10580959916114807,0.08238901197910309,0.08541978895664215,0.1347265988588333,0.08541978895664215,0.1347265988588333,0.0,0.0025670649483799934,0.08798685390502214,0.08798685390502214,0.12988482415676117,0.0006
150,0.07229931652545929,0.11821949481964111,0.07229931652545929,0.11821949481964111,0.06550893932580948,0.08673718571662903,0.0912398025393486,0.07026749849319458,0.07472659647464752,0.11964523047208786,0.07472659647464752,0.11964523047208786,0.0,0.002497495384886861,0.07722409185953438,0.07722409185953438,0.11839994788169861,0.0006
175,0.06291290372610092,0.10483415424823761,0.06291290372610092,0.10483415424823761,0.057886820286512375,0.07702276855707169,0.080189049243927,0.061059627681970596,0.06646203249692917,0.10840608179569244,0.06646203249692917,0.10840608179569244,0.0,0.0024186628870666027,0.06888069538399577,0.06888069538399577,0.10916904360055923,0.0006
200,0.05521262437105179,0.09306667745113373,0.05521262437105179,0.09306667745113373,0.051765598356723785,0.0685296431183815,0.07109495997428894,0.05350887030363083,0.05981708690524101,0.09867379069328308,0.05981708690524101,0.09867379069328308,0.0,0.002351871458813548,0.06216895836405456,0.06216895836405456,0.10181906074285507,0.0006
225,0.049319688230752945,0.08408956974744797,0.049319688230752945,0.08408956974744797,0.04672371223568916,0.06169336661696434,0.06377504020929337,0.04776901379227638,0.054441846907138824,0.09113816171884537,0.054441846907138824,0.09113816171884537,0.0,0.0022758084814995527,0.05671765538863838,0.05671765538863838,0.09518898278474808,0.0006
250,0.04451858997344971,0.07637405395507812,0.04451858997344971,0.07637405395507812,0.04247244447469711,0.0560920350253582,0.057703278958797455,0.043104227632284164,0.050135184079408646,0.08464114367961884,0.050135184079408646,0.08464114367961884,0.0,0.002193127293139696,0.05232831137254834,0.05232831137254834,0.08991823345422745,0.0006
275,0.04056916385889053,0.07014089822769165,0.04056916385889053,0.07014089822769165,0.03891536965966225,0.05139699578285217,0.05263517424464226,0.03927479311823845,0.04649631679058075,0.07920986413955688,0.04649631679058075,0.07920986413955688,0.0,0.0021221982315182686,0.04861851502209902,0.04861851502209902,0.08512228727340698,0.0006
300,0.03723307326436043,0.0650770515203476,0.03723307326436043,0.0650770515203476,0.03626835718750954,0.04737655073404312,0.048525430262088776,0.036021698266267776,0.043400347232818604,0.07469166070222855,0.043400347232818604,0.07469166070222855,0.0,0.0020592634100466967,0.0454596106428653,0.0454596106428653,0.08129515498876572,0.0006
325,0.034488748759031296,0.060767218470573425,0.034488748759031296,0.060767218470573425,0.03402958810329437,0.04404954984784126,0.0450064055621624,0.03336048126220703,0.04086849093437195,0.07096041738986969,0.04086849093437195,0.07096041738986969,0.0,0.001986615126952529,0.04285510606132448,0.04285510606132448,0.07788410037755966,0.0006
350,0.032232340425252914,0.05724227800965309,0.032232340425252914,0.05724227800965309,0.03220369666814804,0.041334666311740875,0.042103223502635956,0.031173452734947205,0.03867725282907486,0.0676800012588501,0.03867725282907486,0.0676800012588501,0.0,0.0019201203249394894,0.04059737315401435,0.04059737315401435,0.07443410903215408,0.0006
375,0.030240632593631744,0.05428997427225113,0.030240632593631744,0.05428997427225113,0.03065519593656063,0.038998425006866455,0.03964414447546005,0.029231885448098183,0.03674239292740822,0.064907506108284,0.03674239292740822,0.064907506108284,0.0,0.0018686772091314197,0.03861107013653964,0.03861107013653964,0.07179100811481476,0.0006
400,0.028542010113596916,0.05170586332678795,0.028542010113596916,0.05170586332678795,0.029407145455479622,0.037061940878629684,0.03752783313393593,0.027578067034482956,0.035006191581487656,0.06241227313876152,0.035006191581487656,0.06241227313876152,0.0,0.0018045434262603521,0.03681073500774801,0.03681073500774801,0.06910327076911926,0.0006
425,0.02694067358970642,0.0493122860789299,0.02694067358970642,0.0493122860789299,0.028192922472953796,0.03517688438296318,0.03544104844331741,0.02602880634367466,0.033392686396837234,0.06009743735194206,0.033392686396837234,0.06009743735194206,0.0,0.0017602787120267749,0.03515296510886401,0.03515296510886401,0.06689850986003876,0.0006
450,0.02550925500690937,0.047054778784513474,0.02550925500690937,0.047054778784513474,0.02713843435049057,0.033589862287044525,0.033591609448194504,0.024642232805490494,0.03196026384830475,0.05793062224984169,0.03196026384830475,0.05793062224984169,0.0,0.0017119715921580791,0.03367223544046283,0.03367223544046283,0.06482865661382675,0.0006
475,0.02420949749648571,0.04514908790588379,0.02420949749648571,0.04514908790588379,0.026077374815940857,0.03207377344369888,0.03189229592680931,0.023385336622595787,0.030654961243271828,0.05602267012000084,0.030654961243271828,0.05602267012000084,0.0,0.001664981129579246,0.032319942372851074,0.032319942372851074,0.0627603754401207,0.0006
500,0.022977488115429878,0.04327819496393204,0.022977488115429878,0.04327819496393204,0.02515243925154209,0.03075433522462845,0.03029988706111908,0.022191988304257393,0.029418548569083214,0.05426196753978729,0.029418548569083214,0.05426196753978729,0.0,0.001623458112590015,0.03104200668167323,0.03104200668167323,0.06087111309170723,0.0006
525,0.021929632872343063,0.04147529974579811,0.021929632872343063,0.04147529974579811,0.024182768538594246,0.029472047463059425,0.028888408094644547,0.021183136850595474,0.028294602409005165,0.05247272551059723,0.028294602409005165,0.05247272551059723,0.0,0.001577900256961584,0.02987250266596675,0.02987250266596675,0.059167347848415375,0.0006
550,0.02084738202393055,0.039819397032260895,0.02084738202393055,0.039819397032260895,0.023444365710020065,0.028309157118201256,0.02752232924103737,0.02013133279979229,0.0271912794560194,0.050792135298252106,0.0271912794560194,0.050792135298252106,0.0,0.001543175196275115,0.028734454652294517,0.028734454652294517,0.05763984099030495,0.0006
575,0.019905896857380867,0.03820818290114403,0.019905896857380867,0.03820818290114403,0.022586515173316002,0.027136653661727905,0.026267478242516518,0.019223466515541077,0.026200637221336365,0.04921076446771622,0.026200637221336365,0.04921076446771622,0.0,0.0015062629245221615,0.027706900145858526,0.027706900145858526,0.05587379261851311,0.0006
600,0.01895875297486782,0.03715422376990318,0.01895875297486782,0.03715422376990318,0.0219065360724926,0.026211636140942574,0.025103319436311722,0.018299603834748268,0.02523115463554859,0.04807880520820618,0.02523115463554859,0.04807880520820618,0.0,0.0014732058625668287,0.02670436049811542,0.02670436049811542,0.05459640920162201,0.0006
625,0.01817047968506813,0.035880863666534424,0.01817047968506813,0.035880863666534424,0.02125476486980915,0.025259843096137047,0.024035241454839706,0.017541345208883286,0.024402711540460587,0.0468444749712944,0.024402711540460587,0.0468444749712944,0.0,0.0014414991019293666,0.025844210642389953,0.025844210642389953,0.05325933173298836,0.0006
650,0.017307421192526817,0.03454010933637619,0.017307421192526817,0.03454010933637619,0.02046683430671692,0.024273443967103958,0.02292695641517639,0.01670459471642971,0.023472024127840996,0.04547634720802307,0.023472024127840996,0.04547634720802307,0.0,0.0014134091325104237,0.02488543326035142,0.02488543326035142,0.051863931119441986,0.0006
675,0.01662774384021759,0.033447254449129105,0.01662774384021759,0.033447254449129105,0.0200375784188509,0.023505693301558495,0.022112630307674408,0.016039356589317322,0.022768255323171616,0.044375281780958176,0.022768255323171616,0.044375281780958176,0.0,0.0013827296206727624,0.024150984943844378,0.024150984943844378,0.050747696310281754,0.0006
700,0.015892280265688896,0.032238516956567764,0.015892280265688896,0.032238516956567764,0.0192927997559309,0.022633589804172516,0.02106899954378605,0.015336954966187477,0.021950524300336838,0.04311187192797661,0.021950524300336838,0.04311187192797661,0.0,0.0013569798320531845,0.023307504132390022,0.023307504132390022,0.04969467595219612,0.0006
