epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,1.3819292783737183,1.658691644668579,1.3819292783737183,1.658691644668579,1.5428560972213745,1.5804071426391602,1.5601556301116943,1.3672609329223633,0.7712712287902832,0.8611911535263062,0.7712712287902832,0.8611911535263062,0.0,2.5729113417582994e-07,0.7712714860814174,0.7712714860814174,0.7843953967094421,0.0006
25,0.5213791728019714,0.7560250759124756,0.5213791728019714,0.7560250759124756,0.574113130569458,0.684242844581604,0.6272847056388855,0.5126630067825317,0.35111942887306213,0.48727279901504517,0.35111942887306213,0.48727279901504517,0.0,0.0009706987766548991,0.35209012764971703,0.35209012764971703,0.37335455417633057,0.0006
50,0.21093758940696716,0.3280862271785736,0.21093758940696716,0.3280862271785736,0.20738261938095093,0.2769772708415985,0.2653321921825409,0.20646081864833832,0.17169246077537537,0.2643645405769348,0.17169246077537537,0.2643645405769348,0.0,0.0018107598880305886,0.17350322066340595,0.17350322066340595,0.20655210316181183,0.0006
75,0.13462822139263153,0.2192118763923645,0.13462822139263153,0.2192118763923645,0.12374991178512573,0.16315583884716034,0.17479342222213745,0.13132257759571075,0.11842229962348938,0.19483202695846558,0.11842229962348938,0.19483202695846558,0.0,0.002012301469221711,0.12043460109271109,0.12043460109271109,0.15568064153194427,0.0006
100,0.102717325091362,0.17555581033229828,0.102717325091362,0.17555581033229828,0.09904766082763672,0.13058209419250488,0.13648472726345062,0.09993821382522583,0.09517473727464676,0.16227300465106964,0.09517473727464676,0.16227300465106964,0.0,0.0020208326168358326,0.09719556989148259,0.09719556989148259,0.1321108043193817,0.0006
125,0.08291985094547272,0.1458543837070465,0.08291985094547272,0.1458543837070465,0.0832957997918129,0.1096147820353508,0.11190714687108994,0.08053416013717651,0.07988686114549637,0.13922785222530365,0.07988686114549637,0.13922785222530365,0.0,0.002005066955462098,0.08189192810095847,0.08189192810095847,0.1167151927947998,0.0006
150,0.07016248255968094,0.12622806429862976,0.07016248255968094,0.12622806429862976,0.07160196453332901,0.09569763392210007,0.09644465148448944,0.06799942255020142,0.0695912092924118,0.12367253750562668,0.0695912092924118,0.12367253750562668,0.0,0.0019595513585954905,0.0715507606510073,0.0715507606510073,0.10569877922534943,0.0006
175,0.06030906364321709,0.11179348826408386,0.06030906364321709,0.11179348826408386,0.0629376545548439,0.08441977947950363,0.0851021483540535,0.058268554508686066,0.06155741959810257,0.11221876740455627,0.06155741959810257,0.11221876740455627,0.0,0.0019152362365275621,0.06347265583463013,0.06347265583463013,0.09718593955039978,0.0006
200,0.05252053588628769,0.10021806508302689,0.05252053588628769,0.10021806508302689,0.056207869201898575,0.07540987432003021,0.0762103796005249,0.05057082325220108,0.05497647821903229,0.10286980122327805,0.05497647821903229,0.10286980122327805,0.0,0.0018622003262862563,0.056838678545318544,0.056838678545318544,0.09005006402730942,0.0006
225,0.046936050057411194,0.09135466068983078,0.046936050057411194,0.09135466068983078,0.05127229169011116,0.06825639307498932,0.06939902901649475,0.045087311416864395,0.049972083419561386,0.0954684317111969,0.049972083419561386,0.0954684317111969,0.0,0.0018046837067231536,0.05177676712628454,0.05177676712628454,0.08444558829069138,0.0006
