name,mean,std,min,max,p01,p99,near_constant
C1,-0.005753632169216871,42.66643142700195,-99.99649810791016,99.9991455078125,-96.05052185058594,96.09507751464844,False
C3,0.5802357792854309,0.6613834500312805,0.0,2.0,0.0,1.9647784233093262,False
A1_x,-0.04113857448101044,17.18212890625,-60.0,60.0,-50.555419921875,50.34086227416992,False
A1_y,0.008964769542217255,17.117563247680664,-60.0,60.0,-50.30240249633789,50.25969696044922,False
B2_x,0.00386040355078876,0.7524458765983582,-3.0,3.0,-2.4319279193878174,2.4248361587524414,False
B2_y,0.0035563914570957422,0.743679940700531,-3.0,3.0,-2.408824920654297,2.4107131958007812,False
A2_x,0.029313886538147926,4.174133777618408,-16.0,16.0,-13.013375282287598,13.216635704040527,False
A2_y,0.0005493514472618699,4.1629719734191895,-16.0,16.0,-13.070982933044434,13.087844848632812,False
S3_x,-0.16818204522132874,37.722877502441406,-100.0,100.0,-90.12109375,90.35126495361328,False
S3_y,0.0321580171585083,37.46531677246094,-100.0,100.0,-90.03099060058594,89.7240219116211,False
A3_x,-0.0839601680636406,23.96868896484375,-100.0,100.0,-80.3058090209961,79.57622528076172,False
A3_y,0.0008296784944832325,24.02540397644043,-100.0,100.0,-79.50517272949219,79.95938873291016,False
