epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,1.37936532497406,1.5225296020507812,1.37936532497406,1.5225296020507812,1.4217485189437866,1.4145928621292114,1.418307900428772,1.3751918077468872,0.7874991297721863,0.8267312049865723,0.7874991297721863,0.8267312049865723,0.0,2.433569363802235e-07,0.7874993731291227,0.7874993731291227,0.8004044890403748,0.0006
25,0.5116516351699829,0.6560468673706055,0.5116516351699829,0.6560468673706055,0.4896819591522217,0.5695023536682129,0.5389102697372437,0.508730411529541,0.35812491178512573,0.4554183781147003,0.35812491178512573,0.4554183781147003,0.0,0.0010215452639386058,0.35914645704906434,0.35914645704906434,0.3813726007938385,0.0006
50,0.19998572766780853,0.277273952960968,0.19998572766780853,0.277273952960968,0.16120828688144684,0.20798148214817047,0.22055470943450928,0.19778141379356384,0.17600031197071075,0.24517330527305603,0.17600031197071075,0.24517330527305603,0.0,0.001894533634185791,0.17789484560489655,0.17789484560489655,0.213690385222435,0.0006
75,0.1299293041229248,0.19053955376148224,0.1299293041229248,0.19053955376148224,0.10482215136289597,0.13521745800971985,0.14934042096138,0.12784908711910248,0.12153792381286621,0.18013566732406616,0.12153792381286621,0.18013566732406616,0.0,0.0020586352329701185,0.12359655904583633,0.12359655904583633,0.16137097775936127,0.0006
100,0.09998287260532379,0.1572568714618683,0.09998287260532379,0.1572568714618683,0.08654524385929108,0.11150975525379181,0.12039995193481445,0.09779484570026398,0.0976908951997757,0.15125057101249695,0.0976908951997757,0.15125057101249695,0.0,0.0020528268069028854,0.09974372200667858,0.09974372200667858,0.13682302832603455,0.0006
125,0.0818244069814682,0.13304735720157623,0.0818244069814682,0.13304735720157623,0.07293124496936798,0.0946296975016594,0.10104358941316605,0.07976474612951279,0.08232778310775757,0.13118329644203186,0.08232778310775757,0.13118329644203186,0.0,0.00203711842186749,0.08436490152962506,0.08436490152962506,0.12104425579309464,0.0006
150,0.06963542848825455,0.11493991315364838,0.06963542848825455,0.11493991315364838,0.06247156113386154,0.08213034272193909,0.08669739961624146,0.06780695170164108,0.0719105452299118,0.11662214249372482,0.0719105452299118,0.11662214249372482,0.0,0.0019870703108608723,0.07389761554077268,0.07389761554077268,0.10999511182308197,0.0006
175,0.060073573142290115,0.1004391685128212,0.060073573142290115,0.1004391685128212,0.05445840209722519,0.0717790275812149,0.07551172375679016,0.0584191158413887,0.06375010311603546,0.10494253039360046,0.06375010311603546,0.10494253039360046,0.0,0.0019342507002875209,0.06568435381632298,0.06568435381632298,0.10156095027923584,0.0006
200,0.0521819144487381,0.08827586472034454,0.0521819144487381,0.08827586472034454,0.048169635236263275,0.06309894472360611,0.06626787036657333,0.050672367215156555,0.05710001289844513,0.09510599821805954,0.05710001289844513,0.09510599821805954,0.0,0.001881598960608244,0.05898161185905337,0.05898161185905337,0.09416084736585617,0.0006
225,0.0463983453810215,0.07929237931966782,0.0463983453810215,0.07929237931966782,0.04341612011194229,0.0569031797349453,0.05933182314038277,0.04501230642199516,0.051864881068468094,0.0874815508723259,0.051864881068468094,0.0874815508723259,0.0,0.0018241159850731492,0.05368899705354124,0.05368899705354124,0.08826116472482681,0.0006
