epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,1.344752311706543,1.5366401672363281,1.344752311706543,1.5366401672363281,1.4364336729049683,1.4136048555374146,1.4100311994552612,1.3377565145492554,0.7674716711044312,0.8448189496994019,0.7674716711044312,0.8448189496994019,0.0,2.868763431251864e-07,0.7674719579807743,0.7674719579807743,0.7825678586959839,0.0006
25,0.5885823369026184,0.7305130362510681,0.5885823369026184,0.7305130362510681,0.6066730618476868,0.677196204662323,0.614425778388977,0.5858127474784851,0.3807544708251953,0.478394091129303,0.3807544708251953,0.478394091129303,0.0,0.0007834761054255068,0.3815379469306208,0.3815379469306208,0.3991127908229828,0.0006
50,0.24760481715202332,0.3340338170528412,0.24760481715202332,0.3340338170528412,0.20709869265556335,0.27603834867477417,0.2652357220649719,0.24571534991264343,0.20491862297058105,0.27839985489845276,0.20491862297058105,0.27839985489845276,0.0,0.0015515958657488227,0.20647021883632988,0.20647021883632988,0.23748578131198883,0.0006
75,0.1334092617034912,0.1959802508354187,0.1334092617034912,0.1959802508354187,0.10685378313064575,0.14185544848442078,0.15464536845684052,0.13113345205783844,0.12512065470218658,0.1848754584789276,0.12512065470218658,0.1848754584789276,0.0,0.001871422166004777,0.12699207686819136,0.12699207686819136,0.16531802713871002,0.0006
100,0.10025808960199356,0.1583564430475235,0.10025808960199356,0.1583564430475235,0.08636082708835602,0.11373359709978104,0.12314806878566742,0.09780504554510117,0.09769177436828613,0.15236377716064453,0.09769177436828613,0.15236377716064453,0.0,0.001906593213789165,0.0995983675820753,0.0995983675820753,0.1363048255443573,0.0006
125,0.08288312703371048,0.13453471660614014,0.08288312703371048,0.13453471660614014,0.07336273044347763,0.09770462661981583,0.10442585498094559,0.08057446032762527,0.08271269500255585,0.13242140412330627,0.08271269500255585,0.13242140412330627,0.0,0.0018847889732569456,0.08459748397581279,0.08459748397581279,0.12061496824026108,0.0006
150,0.07060329616069794,0.11561273038387299,0.07060329616069794,0.11561273038387299,0.06291401386260986,0.08456267416477203,0.08947484195232391,0.06858089566230774,0.07245444506406784,0.1170717403292656,0.07245444506406784,0.1170717403292656,0.0,0.0018609011312946677,0.07431534619536251,0.07431534619536251,0.10975472629070282,0.0006
175,0.06073605269193649,0.1008811667561531,0.06073605269193649,0.1008811667561531,0.05532962456345558,0.07403216511011124,0.0777641087770462,0.05891121178865433,0.06416743993759155,0.10512394458055496,0.06416743993759155,0.10512394458055496,0.0,0.001819246681407094,0.06598668661899865,0.06598668661899865,0.10080347210168839,0.0006
200,0.05243966728448868,0.08774133771657944,0.05243966728448868,0.08774133771657944,0.04890244081616402,0.06434375792741776,0.06761792302131653,0.05081306770443916,0.05730133131146431,0.09474477916955948,0.05730133131146431,0.09474477916955948,0.0,0.0017810798017308116,0.05908241111319512,0.05908241111319512,0.09359949082136154,0.0006
225,0.04653402045369148,0.07861167937517166,0.04653402045369148,0.07861167937517166,0.04421281814575195,0.05720959231257439,0.06024156138300896,0.045065026730298996,0.05196547880768776,0.08707276731729507,0.05196547880768776,0.08707276731729507,0.0,0.00174147158395499,0.05370695039164275,0.05370695039164275,0.0875224843621254,0.0006
250,0.04203325882554054,0.07144425809383392,0.04203325882554054,0.07144425809383392,0.04057203605771065,0.05182572826743126,0.05443154275417328,0.040704578161239624,0.04784414917230606,0.08088741451501846,0.04784414917230606,0.08088741451501846,0.0,0.0017027950379997492,0.04954694421030581,0.04954694421030581,0.08275951445102692,0.0006
