name,mean,std,min,max,p01,p99,near_constant
C1,-0.02961987815797329,39.1302604675293,-99.99481201171875,99.99825286865234,-94.68563079833984,94.90939331054688,False
C3,0.5951332449913025,0.6635398268699646,0.0,2.0,0.0,1.965903639793396,False
A1_x,-0.02926119975745678,17.58089828491211,-60.0,60.0,-50.781368255615234,50.57279586791992,False
A1_y,0.02363024652004242,17.55001449584961,-60.0,60.0,-50.55559539794922,50.61640930175781,False
B2_x,0.003987547475844622,0.8332678079605103,-3.0,3.0,-2.4994895458221436,2.498067855834961,False
B2_y,0.0041788420639932156,0.8238034844398499,-3.0,3.0,-2.4771571159362793,2.4797542095184326,False
A2_x,0.02640947699546814,4.299651622772217,-16.0,16.0,-13.119345664978027,13.313642501831055,False
A2_y,0.0077514369040727615,4.284055709838867,-16.0,16.0,-13.161515235900879,13.231311798095703,False
S3_x,-0.13156957924365997,40.94325637817383,-100.0,100.0,-91.06715393066406,91.38423919677734,False
S3_y,0.023375486955046654,40.704776763916016,-100.0,100.0,-91.15879821777344,90.68331909179688,False
A3_x,-0.08606582134962082,26.17930030822754,-100.0,100.0,-82.35375213623047,81.67630767822266,False
A3_y,0.03091222420334816,26.244550704956055,-100.0,100.0,-81.51270294189453,82.189697265625,False
