subset,quantity,n,bin_count,empty_bin_fraction,min_bin_count,median_bin_count,max_bin_count,max_to_median_ratio,normalized_entropy
full,C1,500000,20,0.0,10266,10869.0,287936,26.491489557456987,0.6429098057675809
full,C3,500000,20,0.0,11393,11511.5,280874,24.399426660296225,0.6595703304298408
full,A1_amp,500000,20,0.0,11620,11786.0,276145,23.429916850500593,0.6695892079845561
full,A1_phase,500000,20,0.0,11440,11548.0,280208,24.264634568756495,0.6609889584418099
full,A2_amp,500000,20,0.0,7578,7794.5,352145,45.17865161331708,0.4933267872833861
full,A2_phase,500000,20,0.0,7627,7767.5,352593,45.393369810106215,0.49218578006481806
full,B2_amp,500000,20,0.0,10777,10887.5,293055,26.916647531572906,0.6332041333131061
full,B2_phase,500000,20,0.0,10508,10719.5,296833,27.690937077289053,0.6248575406875387
full,A3_amp,500000,20,0.0,10204,10351.5,303587,29.327826884992515,0.6097479261047318
full,A3_phase,500000,20,0.0,9987,10168.5,307018,30.19304715543099,0.6019715480739607
full,S3_amp,500000,20,0.0,6111,6288.5,132106,21.007553470620977,0.8301397779946662
full,S3_phase,500000,20,0.0,18541,18780.5,143738,7.653576848326722,0.9005652878916879
parent,C1,16446,20,0.15,0,650.5,6607,10.156802459646427,0.7657319043221406
parent,C3,16446,20,0.0,493,525.5,6477,12.325404376784014,0.8194722177916086
parent,A1_amp,16446,20,0.0,472,509.0,6640,13.045186640471513,0.810858840547916
parent,A1_phase,16446,20,0.0,562,604.5,4952,8.191894127377997,0.8909456210905095
parent,A2_amp,16446,20,0.0,457,510.5,6781,13.28305582761998,0.803618984952103
parent,A2_phase,16446,20,0.0,555,603.0,5102,8.461028192371476,0.8845151895427629
parent,B2_amp,16446,20,0.0,385,425.5,8369,19.668625146886015,0.7138731945840898
parent,B2_phase,16446,20,0.0,462,498.0,6991,14.038152610441767,0.7925021282105296
parent,A3_amp,16446,20,0.0,328,364.5,9538,26.16735253772291,0.6397758768762376
parent,A3_phase,16446,20,0.0,384,433.5,8378,19.32641291810842,0.7133045572488205
parent,S3_amp,16446,20,0.0,386,425.0,8341,19.625882352941176,0.7155041429835258
parent,S3_phase,16446,20,0.0,482,501.0,6887,13.746506986027944,0.798146578092424
new_training_only,C1,483554,20,0.0,9596,10222.5,281329,27.520567375886525,0.6362947217629111
new_training_only,C3,483554,20,0.0,10860,10992.0,274397,24.963336972343523,0.6534616242398302
new_training_only,A1_amp,483554,20,0.0,11122,11277.5,269505,23.8975836843272,0.6642526941459215
new_training_only,A1_phase,483554,20,0.0,10839,10933.5,275256,25.175469886129786,0.6515519659514374
new_training_only,A2_amp,483554,20,0.0,7121,7277.5,345364,47.456406733081415,0.480611211044173
new_training_only,A2_phase,483554,20,0.0,7031,7154.0,347491,48.57296617277048,0.4749260936818681
new_training_only,B2_amp,483554,20,0.0,10347,10465.5,284686,27.20233147006832,0.6303126800773411
new_training_only,B2_phase,483554,20,0.0,10034,10210.5,289842,28.38666079036286,0.6184736374913089
new_training_only,A3_amp,483554,20,0.0,9852,9984.5,294049,29.450548349942412,0.6087031982079667
new_training_only,A3_phase,483554,20,0.0,9551,9743.5,298640,30.650177041104325,0.5979134198990672
new_training_only,S3_amp,483554,20,0.0,5693,5866.0,123765,21.09870439822707,0.8302735493267962
new_training_only,S3_phase,483554,20,0.0,18039,18270.0,136851,7.4904761904761905,0.9035843450397057
