subset,pair,x,y,grid_shape,nonempty_cell_fraction,empty_cell_fraction,min_nonzero_cell_count,median_nonzero_cell_count,max_cell_count,max_to_median_nonzero_ratio,normalized_2d_entropy
full,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,362,439.5,110201,250.74175199089873,0.711665297373965
full,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,345,426.0,86406,202.83098591549296,0.729594307383467
full,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,355,441.5,80556,182.4597961494904,0.7478790780373019
full,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,328,416.5,55302,132.7779111644658,0.7286417257539453
full,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,501,617.5,117670,190.5587044534413,0.7503835960982069
full,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,466,576.5,95550,165.74154379878578,0.7674543732186752
full,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,492,556.0,214047,384.97661870503595,0.6340823551367986
full,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,546,611.0,211527,346.19803600654666,0.6476837601378318
full,C1__C3,C1,C3,16x16,1.0,0.0,559,626.5,217927,347.8483639265762,0.643399362192087
parent,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,182,234.0,82736,353.5726495726496,0.6625923780219852
parent,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,147,220.0,66727,303.30454545454546,0.6978583225077702
parent,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,176,233.0,56033,240.48497854077254,0.736694374319607
parent,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,153,213.0,35749,167.8356807511737,0.7456877774250183
parent,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,272,319.0,84656,265.37931034482756,0.6904494197351151
parent,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,248,297.0,69529,234.1043771043771,0.7224279904486253
parent,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,208,262.5,96773,368.6590476190476,0.6498542903414858
parent,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,252,294.0,100391,341.46598639455783,0.6565510431623716
parent,C1__C3,C1,C3,16x16,1.0,0.0,319,384.5,90589,235.60208062418727,0.7144251251462099
new_training_only,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,175,220.0,27465,124.8409090909091,0.7444234984752581
new_training_only,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,173,220.0,20448,92.94545454545455,0.744294642853753
new_training_only,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,164,220.0,24523,111.46818181818182,0.7429420478009077
new_training_only,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,160,212.0,23677,111.68396226415095,0.6936718836980402
new_training_only,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,202,298.5,33014,110.59966499162479,0.793767717742128
new_training_only,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,200,280.0,26021,92.93214285714286,0.7973237592120038
new_training_only,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,247,294.0,117274,398.89115646258506,0.6111245022410254
new_training_only,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,272,318.0,111136,349.4842767295597,0.6371471159006471
new_training_only,C1__C3,C1,C3,16x16,1.0,0.0,201,247.0,127338,515.5384615384615,0.5673059173809669
