sweep_label,planned_count,parent_count,observed_new_training_only_count,full_count,observed_count,absolute_error,relative_error,status
A1,0,32,0,32,0,0,0.0,PASS
A1_B2_S3_grid,0,96,0,96,0,0,0.0,PASS
A2,0,20,0,20,0,0,0.0,PASS
A3,0,20,0,20,0,0,0.0,PASS
A3_wide,0,45,0,45,0,0,0.0,PASS
B2/C21,0,32,0,32,0,0,0.0,PASS
C1,0,6,0,6,0,0,0.0,PASS
C1_A1_C3_grid,0,108,0,108,0,0,0.0,PASS
C3,0,6,0,6,0,0,0.0,PASS
S3/C32,0,36,0,36,0,0,0.0,PASS
S3_C32_wide,0,45,0,45,0,0,0.0,PASS
S3_high_random,24000,0,33500,33500,33500,9500,0.3958333333333333,WARN
coupled_A1_A2_B2_random,0,1500,0,1500,0,0,0.0,PASS
coupled_A1_B2_S3_random,24000,1500,38000,39500,38000,14000,0.5833333333333334,WARN
coupled_A1_B2_random,3000,0,9000,9000,9000,6000,2.0,WARN
coupled_A1_S3_random,16000,0,28500,28500,28500,12500,0.78125,WARN
coupled_A2_B2_random,3000,0,8500,8500,8500,5500,1.8333333333333333,WARN
coupled_A3_S3_random,24000,1500,38500,40000,38500,14500,0.6041666666666666,WARN
coupled_B2_S3_random,20000,0,29500,29500,29500,9500,0.475,WARN
coupled_C1_A1_C3_A2_random,0,2000,10500,12500,10500,10500,10500.0,WARN
coupled_C1_A1_C3_random,0,0,5500,5500,5500,5500,5500.0,WARN
coupled_C1_A1_S3_random,8000,0,12000,12000,12000,4000,0.5,WARN
coupled_C1_A1_random,0,0,6000,6000,6000,6000,6000.0,WARN
coupled_C1_A2_random,0,0,5000,5000,5000,5000,5000.0,WARN
coupled_C1_A3_S3_random,6000,0,6000,6000,6000,0,0.0,PASS
coupled_C1_A3_random,0,0,4000,4000,4000,4000,4000.0,WARN
coupled_C1_B2_random,0,0,2500,2500,2500,2500,2500.0,WARN
coupled_C1_C3_A2_random,0,1500,9500,11000,9500,9500,9500.0,WARN
coupled_C1_C3_S3_random,7000,0,18000,18000,18000,11000,1.5714285714285714,WARN
coupled_C1_C3_random,8000,0,18000,18000,18000,10000,1.25,WARN
coupled_C1_S3_random,8000,0,13500,13500,13500,5500,0.6875,WARN
coupled_C3_A3_S3_random,22000,0,36500,36500,36500,14500,0.6590909090909091,WARN
coupled_C3_B2_random,2000,0,7000,7000,7000,5000,2.5,WARN
coupled_full_random,40000,5000,75554,80554,75554,35554,0.88885,WARN
coupled_sparse_random,35000,3000,68500,71500,68500,33500,0.9571428571428572,WARN
