pair,angle_bin,row_count,fraction,mean_abs_deviation_deg,p95_abs_deviation_deg,random_angle_entropy
A3_S3,aligned,13000,0.25,3.7292552607799947,7.1271384275683545,
A3_S3,orthogonal,13000,0.25,3.7508289560224415,7.1392478775927914,
A3_S3,anti_aligned,13000,0.25,3.7334500148501717,7.130372327948583,
A3_S3,random,13000,0.25,,,0.999784161389619
B2_S3,aligned,11000,0.25,3.7546484909248368,7.109233423355459,
B2_S3,orthogonal,11000,0.25,3.7301950344486396,7.121660716311283,
B2_S3,anti_aligned,11000,0.25,3.7896439266842306,7.141002265010944,
B2_S3,random,11000,0.25,,,0.9998001590534064
A1_S3,aligned,12000,0.25,3.7677115046169045,7.128298269023536,
A1_S3,orthogonal,12000,0.25,3.734479177034992,7.1255136158760894,
A1_S3,anti_aligned,12000,0.25,3.76309985689416,7.12430435092123,
A1_S3,random,12000,0.25,,,0.9997694114749311
