sweep_label,planned_count,parent_count,observed_new_training_only_count,full_count,observed_count,absolute_error,relative_error,status
A1,0,32,0,32,0,0,0.0,PASS
A1_B2_S3_grid,0,96,0,96,0,0,0.0,PASS
A2,0,20,0,20,0,0,0.0,PASS
A3,0,20,0,20,0,0,0.0,PASS
A3_wide,0,45,0,45,0,0,0.0,PASS
B2/C21,0,32,0,32,0,0,0.0,PASS
C1,0,6,0,6,0,0,0.0,PASS
C1_A1_C3_grid,0,108,0,108,0,0,0.0,PASS
C3,0,6,0,6,0,0,0.0,PASS
S3/C32,0,36,0,36,0,0,0.0,PASS
S3_C32_wide,0,45,0,45,0,0,0.0,PASS
S3_high_random,35000,40500,35000,75500,35000,0,0.0,PASS
coupled_A1_A2_B2_random,0,1500,0,1500,0,0,0.0,PASS
coupled_A1_B2_S3_random,35000,46500,35000,81500,35000,0,0.0,PASS
coupled_A1_B2_random,5000,9000,5000,14000,5000,0,0.0,PASS
coupled_A1_S3_random,20000,33500,20000,53500,20000,0,0.0,PASS
coupled_A2_B2_random,6000,14500,6000,20500,6000,0,0.0,PASS
coupled_A3_S3_random,35000,47000,35000,82000,35000,0,0.0,PASS
coupled_B2_S3_random,30000,36500,30000,66500,30000,0,0.0,PASS
coupled_C1_A1_C3_A2_random,0,15500,0,15500,0,0,0.0,PASS
coupled_C1_A1_C3_random,0,5500,0,5500,0,0,0.0,PASS
coupled_C1_A1_S3_random,8000,12000,8000,20000,8000,0,0.0,PASS
coupled_C1_A1_random,0,6000,0,6000,0,0,0.0,PASS
coupled_C1_A2_random,0,5000,0,5000,0,0,0.0,PASS
coupled_C1_A3_S3_random,8000,6000,8000,14000,8000,0,0.0,PASS
coupled_C1_A3_random,0,4000,0,4000,0,0,0.0,PASS
coupled_C1_B2_random,0,2500,0,2500,0,0,0.0,PASS
coupled_C1_C3_A2_random,10000,16000,10000,26000,10000,0,0.0,PASS
coupled_C1_C3_S3_random,8000,20000,8000,28000,8000,0,0.0,PASS
coupled_C1_C3_random,15000,18000,15000,33000,15000,0,0.0,PASS
coupled_C1_S3_random,10000,13500,10000,23500,10000,0,0.0,PASS
coupled_C3_A3_S3_random,30000,42500,30000,72500,30000,0,0.0,PASS
coupled_C3_B2_random,5000,9000,5000,14000,5000,0,0.0,PASS
coupled_full_random,160000,90554,160000,250554,160000,0,0.0,PASS
coupled_sparse_random,80000,79500,80000,159500,80000,0,0.0,PASS
