pair,angle_bin,row_count,fraction,mean_abs_deviation_deg,p95_abs_deviation_deg,random_angle_entropy
A3_S3,aligned,18250,0.25,3.7650067621927663,7.131979949110794,
A3_S3,orthogonal,18250,0.25,3.7341019151421655,7.110508116000079,
A3_S3,anti_aligned,18250,0.25,3.7458715938260374,7.124792577675415,
A3_S3,random,18250,0.25,,,0.9997753738382774
B2_S3,aligned,16250,0.25,3.739582175600178,7.133187486327144,
B2_S3,orthogonal,16250,0.25,3.738439740203538,7.133380969695945,
B2_S3,anti_aligned,16250,0.25,3.704380957299819,7.1064590711303275,
B2_S3,random,16250,0.25,,,0.9999271196245225
A1_S3,aligned,15750,0.25,3.753235355420422,7.116754574138502,
A1_S3,orthogonal,15750,0.25,3.735009336345479,7.131086234486056,
A1_S3,anti_aligned,15750,0.25,3.70628264267297,7.105076467168848,
A1_S3,random,15750,0.25,,,0.999909670195823
