subset,pair,x,y,grid_shape,nonempty_cell_fraction,empty_cell_fraction,min_nonzero_cell_count,median_nonzero_cell_count,max_cell_count,max_to_median_nonzero_ratio,normalized_2d_entropy
full,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,1749,2582.5,333583,129.17057115198452,0.7790289582646422
full,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,1726,2582.5,229316,88.79612778315585,0.8155975292183236
full,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,1748,2579.5,215566,83.56890870323706,0.8186047920686806
full,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,1577,2513.0,190166,75.67290091524075,0.78341128084679
full,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,2288,2590.0,352992,136.2903474903475,0.800535659898285
full,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,2264,2540.5,255201,100.45306042117693,0.8344261806377985
full,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,2121,2601.5,542293,208.45396886411686,0.732076013712085
full,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,2209,2892.5,494238,170.8687986171132,0.7650770908000453
full,C1__C3,C1,C3,16x16,1.0,0.0,2247,2560.5,584504,228.27728959187658,0.7186932121896098
parent,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,1132,1264.5,196232,155.1854487939897,0.7613353000079895
parent,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,1092,1251.5,148808,118.90371554135038,0.780304386142819
parent,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,1132,1265.0,158534,125.32332015810276,0.7778693176033192
parent,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,1055,1207.5,110493,91.5055900621118,0.754954578674533
parent,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,1319,1554.5,211376,135.97684142811192,0.7933936165383627
parent,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,1244,1500.0,167160,111.44,0.8113864997566304
parent,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,1388,1504.5,423313,281.3645729478232,0.6820889640059808
parent,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,1494,1617.0,419741,259.5800865800866,0.6926399661881226
parent,C1__C3,C1,C3,16x16,1.0,0.0,1402,1547.0,452071,292.22430510665805,0.6675119300402931
new_training_only,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,547,1033.5,137351,132.89888727624577,0.7954721636950733
new_training_only,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,569,1090.5,80508,73.82668500687758,0.8646110949440531
new_training_only,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,585,1072.0,57032,53.201492537313435,0.8757279115701879
new_training_only,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,457,870.5,79673,91.5255600229753,0.8273379993268944
new_training_only,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,938,1039.5,141616,136.23472823472824,0.8005800237400477
new_training_only,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,946,1058.5,88041,83.17524799244214,0.8653412092676962
new_training_only,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,669,1094.0,118980,108.75685557586837,0.8264352808035609
new_training_only,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,638,1255.0,74497,59.3601593625498,0.8902900950350255
new_training_only,C1__C3,C1,C3,16x16,1.0,0.0,792,1012.5,132433,130.79802469135802,0.8162417465766366
