sweep_label,planned_count,parent_count,observed_new_training_only_count,full_count,observed_count,absolute_error,relative_error,status
A1,0,32,0,32,0,0,0.0,PASS
A1_B2_S3_grid,0,96,0,96,0,0,0.0,PASS
A2,0,20,0,20,0,0,0.0,PASS
A3,0,20,0,20,0,0,0.0,PASS
A3_wide,0,45,0,45,0,0,0.0,PASS
B2/C21,0,32,0,32,0,0,0.0,PASS
C1,0,6,0,6,0,0,0.0,PASS
C1_A1_C3_grid,0,108,0,108,0,0,0.0,PASS
C3,0,6,0,6,0,0,0.0,PASS
S3/C32,0,36,0,36,0,0,0.0,PASS
S3_C32_wide,0,45,0,45,0,0,0.0,PASS
S3_high_random,6000,75500,6000,81500,6000,0,0.0,PASS
coupled_A1_A2_B2_random,35000,1500,35000,36500,35000,0,0.0,PASS
coupled_A1_B2_S3_random,20000,81500,20000,101500,20000,0,0.0,PASS
coupled_A1_B2_random,2000,14000,2000,16000,2000,0,0.0,PASS
coupled_A1_S3_random,5000,53500,5000,58500,5000,0,0.0,PASS
coupled_A2_B2_random,20000,20500,20000,40500,20000,0,0.0,PASS
coupled_A3_S3_random,13000,82000,13000,95000,13000,0,0.0,PASS
coupled_B2_S3_random,13000,66500,13000,79500,13000,0,0.0,PASS
coupled_C1_A1_C3_A2_random,45000,15500,45000,60500,45000,0,0.0,PASS
coupled_C1_A1_C3_random,0,5500,0,5500,0,0,0.0,PASS
coupled_C1_A1_S3_random,0,20000,0,20000,0,0,0.0,PASS
coupled_C1_A1_random,0,6000,0,6000,0,0,0.0,PASS
coupled_C1_A2_random,0,5000,0,5000,0,0,0.0,PASS
coupled_C1_A3_S3_random,0,14000,0,14000,0,0,0.0,PASS
coupled_C1_A3_random,0,4000,0,4000,0,0,0.0,PASS
coupled_C1_B2_random,0,2500,0,2500,0,0,0.0,PASS
coupled_C1_C3_A2_random,20000,26000,20000,46000,20000,0,0.0,PASS
coupled_C1_C3_S3_random,0,28000,0,28000,0,0,0.0,PASS
coupled_C1_C3_random,4000,33000,4000,37000,4000,0,0.0,PASS
coupled_C1_S3_random,3000,23500,3000,26500,3000,0,0.0,PASS
coupled_C3_A3_S3_random,18000,72500,18000,90500,18000,0,0.0,PASS
coupled_C3_B2_random,1000,14000,1000,15000,1000,0,0.0,PASS
coupled_full_random,210000,250554,210000,460554,210000,0,0.0,PASS
coupled_sparse_random,85000,159500,85000,244500,85000,0,0.0,PASS
