pair,angle_bin,row_count,fraction,mean_abs_deviation_deg,p95_abs_deviation_deg,random_angle_entropy
A3_S3,aligned,5231,0.16874193548387098,4.109579475071653,7.227578138280705,
A3_S3,orthogonal,5413,0.17461290322580644,4.032508591482363,7.233021640082642,
A3_S3,anti_aligned,5402,0.17425806451612902,4.0698119010203975,7.225690712202387,
A3_S3,random,14954,0.48238709677419356,,,0.9883179547935629
B2_S3,aligned,4585,0.13893939393939395,4.264208238467786,7.242165599759511,
B2_S3,orthogonal,4347,0.13172727272727272,4.183687885253786,7.271290884891937,
B2_S3,anti_aligned,4479,0.13572727272727272,4.16816556662076,7.242960635450208,
B2_S3,random,19589,0.5936060606060606,,,0.9972347688749017
A1_S3,aligned,3210,0.1284,4.258887839023627,7.235232525787691,
A1_S3,orthogonal,3136,0.12544,4.18222067237884,7.239302230482878,
A1_S3,anti_aligned,3163,0.12652,4.149970290024057,7.232206885111088,
A1_S3,random,15491,0.61964,,,0.9988429706722104
