subset,quantity,n,bin_count,empty_bin_fraction,min_bin_count,median_bin_count,max_bin_count,max_to_median_ratio,normalized_entropy
full,C1,1325000,20,0.0,25468,27277.5,711995,26.101915498121162,0.6784254081406443
full,C3,1325000,20,0.0,31516,32498.5,673396,20.72083326922781,0.7136024802846769
full,A1_amp,1325000,20,0.0,30347,35464.0,637985,17.989651477554702,0.7384158689688998
full,A1_phase,1325000,20,0.0,31222,32905.5,658053,19.998267766786707,0.724492074043618
full,A2_amp,1325000,20,0.0,23088,25364.0,796263,31.39343163538874,0.6128835222241344
full,A2_phase,1325000,20,0.0,23407,25543.5,806657,31.579736527883806,0.606037598997846
full,B2_amp,1325000,20,0.0,31304,36221.0,617243,17.041025924187625,0.752676012245469
full,B2_phase,1325000,20,0.0,32206,34429.0,636192,18.478375787853263,0.7408748586282469
full,A3_amp,1325000,20,0.0,30192,32877.0,653606,19.88034188034188,0.7265890685743794
full,A3_phase,1325000,20,0.0,30322,31908.0,674763,21.14714178262505,0.7115885181085037
full,S3_amp,1325000,20,0.0,17543,19294.0,249200,12.915932414222038,0.8641012086276533
full,S3_phase,1325000,20,0.0,50258,52886.5,290440,5.491760657256577,0.9418077143960183
parent,C1,1075000,20,0.0,23348,24463.0,599506,24.50664268487103,0.662920840169609
parent,C3,1075000,20,0.0,26791,26929.5,563316,20.91817523533671,0.6988275474714858
parent,A1_amp,1075000,20,0.0,26833,27063.0,560789,20.72161253371762,0.7012092942642744
parent,A1_phase,1075000,20,0.0,26209,26418.0,573199,21.69728972670149,0.689439357091973
parent,A2_amp,1075000,20,0.0,20080,20286.5,689877,34.00670396569147,0.5698979920478019
parent,A2_phase,1075000,20,0.0,19778,19975.5,695875,34.8364246201597,0.5633053737511121
parent,B2_amp,1075000,20,0.0,27088,27231.5,557755,20.481978590970016,0.7040601651625581
parent,B2_phase,1075000,20,0.0,26335,26573.5,570714,21.47680960355241,0.6918102975427727
parent,A3_amp,1075000,20,0.0,25654,25783.0,585189,22.69669937555754,0.6778988786463968
parent,A3_phase,1075000,20,0.0,24992,25143.0,596815,23.736825358946824,0.6665473508679981
parent,S3_amp,1075000,20,0.0,16990,17225.5,239787,13.920466749876637,0.8685722287016524
parent,S3_phase,1075000,20,0.0,42256,42479.0,268487,6.320464229383931,0.9250207224930204
new_training_only,C1,250000,20,0.0,1975,2715.5,112489,41.42478364941999,0.6620739370847383
new_training_only,C3,250000,20,0.0,4564,5483.5,110080,20.074769763836965,0.7559304787890964
new_training_only,A1_amp,250000,20,0.0,3174,8359.5,77196,9.234523595908847,0.8426390976783974
new_training_only,A1_phase,250000,20,0.0,4737,6503.5,84854,13.047435996002152,0.8333705744324195
new_training_only,A2_amp,250000,20,0.0,2773,5121.0,106386,20.77445811364968,0.7353836594755487
new_training_only,A2_phase,250000,20,0.0,3362,5518.5,110782,20.0746579686509,0.744191996181562
new_training_only,B2_amp,250000,20,0.0,4172,8992.0,59488,6.615658362989324,0.8841248516049762
new_training_only,B2_phase,250000,20,0.0,5866,7869.5,65478,8.320477794014867,0.8957368240541852
new_training_only,A3_amp,250000,20,0.0,4489,7093.0,68417,9.645707035105033,0.8655185221045012
new_training_only,A3_phase,250000,20,0.0,5179,6765.5,77948,11.521395314463085,0.8489985100920178
new_training_only,S3_amp,250000,20,0.0,381,2129.0,53546,25.150775011742603,0.7613768638113725
new_training_only,S3_phase,250000,20,0.0,7863,10362.0,32536,3.1399343756031652,0.9728543251927794
