subset,pair,x,y,grid_shape,nonempty_cell_fraction,empty_cell_fraction,min_nonzero_cell_count,median_nonzero_cell_count,max_cell_count,max_to_median_nonzero_ratio,normalized_2d_entropy
full,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,1170,1442.5,200604,139.06689774696707,0.7833111233132503
full,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,1126,1490.0,153536,103.04429530201342,0.8023234381344848
full,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,1147,1514.5,162951,107.5939253879168,0.7941865723464024
full,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,1071,1453.5,115564,79.50739594083247,0.7607233737506393
full,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,1544,1903.0,219790,115.49658434051497,0.8198212161746571
full,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,1489,1850.0,175396,94.80864864864864,0.8382094538988435
full,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,1654,1980.0,486997,245.9580808080808,0.7095247080550564
full,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,1749,2051.5,470270,229.23226907141117,0.7274262140342133
full,C1__C3,C1,C3,16x16,1.0,0.0,1547,1758.5,538459,306.2035825988058,0.6785234705493352
parent,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,1132,1264.5,196232,155.1854487939897,0.7613353000079895
parent,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,1092,1251.5,148808,118.90371554135038,0.780304386142819
parent,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,1132,1265.0,158534,125.32332015810276,0.7778693176033192
parent,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,1055,1207.5,110493,91.5055900621118,0.754954578674533
parent,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,1319,1554.5,211376,135.97684142811192,0.7933936165383627
parent,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,1244,1500.0,167160,111.44,0.8113864997566304
parent,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,1388,1504.5,423313,281.3645729478232,0.6820889640059808
parent,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,1494,1617.0,419741,259.5800865800866,0.6926399661881226
parent,C1__C3,C1,C3,16x16,1.0,0.0,1402,1547.0,452071,292.22430510665805,0.6675119300402931
new_training_only,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,9,228.0,22854,100.23684210526316,0.79061565456178
new_training_only,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,10,264.5,23280,88.01512287334593,0.7990974788393965
new_training_only,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,7,266.0,19959,75.03383458646617,0.7800167282033269
new_training_only,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,4,242.0,23811,98.39256198347107,0.688851080220777
new_training_only,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,217,372.5,12335,33.11409395973154,0.8717662018974471
new_training_only,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,219,348.0,12021,34.543103448275865,0.8865780506764441
new_training_only,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,202,444.5,63684,143.2710911136108,0.7736562409647867
new_training_only,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,140,442.0,50529,114.31900452488688,0.8071569435463245
new_training_only,C1__C3,C1,C3,16x16,1.0,0.0,112,196.0,86388,440.7551020408163,0.6671873300265783
