sweep_label,planned_count,parent_count,observed_new_training_only_count,full_count,observed_count,absolute_error,relative_error,status
A1,0,32,0,32,0,0,0.0,PASS
A1_B2_S3_grid,0,96,0,96,0,0,0.0,PASS
A2,0,20,0,20,0,0,0.0,PASS
A3,0,20,0,20,0,0,0.0,PASS
A3_wide,0,45,0,45,0,0,0.0,PASS
B2/C21,0,32,0,32,0,0,0.0,PASS
C1,0,6,0,6,0,0,0.0,PASS
C1_A1_C3_grid,0,108,0,108,0,0,0.0,PASS
C3,0,6,0,6,0,0,0.0,PASS
S3/C32,0,36,0,36,0,0,0.0,PASS
S3_C32_wide,0,45,0,45,0,0,0.0,PASS
S3_high_random,8000,75500,8000,83500,8000,0,0.0,PASS
active_failed_subspace_jitter,90000,0,90000,90000,90000,0,0.0,PASS
coupled_A1_A2_B2_random,0,1500,0,1500,0,0,0.0,PASS
coupled_A1_B2_S3_random,25000,81500,25000,106500,25000,0,0.0,PASS
coupled_A1_B2_random,0,14000,0,14000,0,0,0.0,PASS
coupled_A1_S3_random,4000,53500,4000,57500,4000,0,0.0,PASS
coupled_A2_B2_random,0,20500,0,20500,0,0,0.0,PASS
coupled_A3_S3_random,22000,82000,22000,104000,22000,0,0.0,PASS
coupled_B2_S3_random,22000,66500,22000,88500,22000,0,0.0,PASS
coupled_C1_A1_C3_A2_random,0,15500,0,15500,0,0,0.0,PASS
coupled_C1_A1_C3_random,0,5500,0,5500,0,0,0.0,PASS
coupled_C1_A1_S3_random,0,20000,0,20000,0,0,0.0,PASS
coupled_C1_A1_random,0,6000,0,6000,0,0,0.0,PASS
coupled_C1_A2_random,0,5000,0,5000,0,0,0.0,PASS
coupled_C1_A3_S3_random,0,14000,0,14000,0,0,0.0,PASS
coupled_C1_A3_random,0,4000,0,4000,0,0,0.0,PASS
coupled_C1_B2_random,0,2500,0,2500,0,0,0.0,PASS
coupled_C1_C3_A2_random,0,26000,0,26000,0,0,0.0,PASS
coupled_C1_C3_S3_random,0,28000,0,28000,0,0,0.0,PASS
coupled_C1_C3_random,0,33000,0,33000,0,0,0.0,PASS
coupled_C1_S3_random,0,23500,0,23500,0,0,0.0,PASS
coupled_C3_A3_S3_random,16000,72500,16000,88500,16000,0,0.0,PASS
coupled_C3_B2_random,0,14000,0,14000,0,0,0.0,PASS
coupled_full_random,45000,250554,45000,295554,45000,0,0.0,PASS
coupled_sparse_random,18000,159500,18000,177500,18000,0,0.0,PASS
