pair,angle_bin,row_count,fraction,mean_abs_deviation_deg,p95_abs_deviation_deg,random_angle_entropy
A3_S3,aligned,9040,0.23789473684210527,3.817518352270786,7.146341495342407,
A3_S3,orthogonal,9058,0.2383684210526316,3.826980947067356,7.136343592576708,
A3_S3,anti_aligned,9022,0.23742105263157895,3.8326195716247633,7.159877869683664,
A3_S3,random,10880,0.2863157894736842,,,0.999134330141728
B2_S3,aligned,11004,0.23412765957446807,3.8213118686739254,7.128575118462151,
B2_S3,orthogonal,10985,0.23372340425531915,3.818437924895303,7.151343140100629,
B2_S3,anti_aligned,11054,0.23519148936170212,3.7965172508382774,7.143874756366029,
B2_S3,random,13957,0.29695744680851066,,,0.9994805730457237
A1_S3,aligned,6717,0.2316206896551724,3.828177816547861,7.143096150541129,
A1_S3,orthogonal,6710,0.2313793103448276,3.825875240488865,7.154501658630712,
A1_S3,anti_aligned,6833,0.2356206896551724,3.781775358346316,7.154787592892522,
A1_S3,random,8740,0.30137931034482757,,,0.9996417059013842
