metric,v13,v15,delta_v15_minus_v13,relative_change,lower_is_better,v15_improved
selection_weighted_score,0.012279222159309057,0.013165120231670824,0.0008858980723617672,0.07214610672143879,True,False
true_hard_target_normalized_mae,0.006564072240144015,0.0071319350972771645,0.0005678628571331498,0.08651075679214203,True,False
validation_normalized_mae,0.005084018688648939,0.005514475051313639,0.00043045636266469955,0.08466852484743558,True,False
blind_normalized_mae,0.005512593314051628,0.005967774894088507,0.0004551815800368786,0.08257122448641703,True,False
stress_normalized_mae,0.005654443055391312,0.006147522013634443,0.0004930789582431316,0.08720203801026845,True,False
B2_magnitude_mae,0.02138221636414528,0.023369701579213142,0.0019874852150678635,0.09295038368429259,True,False
S3_magnitude_mae,1.063392162322998,1.1215183734893799,0.058126211166381836,0.05466112430187951,True,False
A3_magnitude_mae,0.5508114099502563,0.5959453582763672,0.04513394832611084,0.08194083766381469,True,False
S3_high_magnitude_mae,0.8476534485816956,0.9030768275260925,0.05542337894439697,0.06538447880691345,True,False
S3_high_magnitude_bias,-0.5059384703636169,-0.4866616129875183,0.019276857376098633,0.038101189186591,True,True
S3_high_magnitude_slope,0.9721779204327441,0.9664945270450565,-0.005683393387687641,-0.005846042445767335,False,False
S3_high_mean_abs_angle_error_deg,0.3600972592830658,0.3743816614151001,0.014284402132034302,0.039668177870816834,True,False
